stage,max_length,mean_gate_entanglement_infidelity_to_truth,mean_spam_vector_l2_error_to_truth,mean_gate_diamond_distance_to_truth
0,1,0.0023800066400290754,0.003489547820801618,0.022834565891300097
1,2,0.0011237959027309286,0.002695432463695356,0.009732912605864362
2,4,0.000601406821001127,0.0020144566175130533,0.00559943178981991
3,8,0.0004420577004556059,0.0022813863356829366,0.003928818606769878
4,16,5.836315200363762e-05,0.0013426618222218587,0.0016171079188229283
5,32,0.0003981146539298319,0.0008533180311107784,0.0020375780647667137
6,64,0.00020279244330928536,0.0008016136395326056,0.001291472139437399
