stage,max_length,mean_gate_entanglement_infidelity_to_truth,mean_spam_vector_l2_error_to_truth,mean_gate_diamond_distance_to_truth
0,1,0.001829673872301013,0.0076364337800547966,0.018670840449244157
1,2,0.0007115998702381665,0.0037968349045816277,0.00544034631459118
2,4,0.0006051892957112393,0.0031656825634455085,0.004278364277263812
3,8,0.000565258366368393,0.0029452314913683063,0.003559384378649113
4,16,0.00011061408555668173,0.0019164452988366231,0.001709283306145125
5,32,3.054894845216927e-05,0.0019461294672581519,0.0008217499737380029
6,64,1.915282811004726e-05,0.0014123524027626615,0.0005230912212131457
