iteration,nf,previous_rho,trust_region_delta,adaptive_schedule,requested_budget,scheduled_budget,shots_added,active_circuits,revealed_union_circuits,accounted_revealed_shots,total_shot_budget,remaining_shot_budget,shot_budget_exhausted,physical_precomputed_shots
0,0,,0.1,lazy_delta_inverse_square,0,0,0,1918,1918,153440,959000,805560,False,153440
1,1,23.67985204135505,0.2,lazy_delta_inverse_square,0,0,0,1918,1918,153440,959000,805560,False,153440
2,2,-0.77379473114399,0.1,lazy_delta_inverse_square,0,0,0,1918,1918,153440,959000,805560,False,153440
3,3,-0.1728931129251496,0.05,lazy_delta_inverse_square,0,0,0,1918,1918,153440,959000,805560,False,153440
4,4,0.8186125580981417,0.1,lazy_delta_inverse_square,0,0,0,1918,1918,153440,959000,805560,False,153440
5,5,-5.32073700047831,0.05,lazy_delta_inverse_square,10000,10000,10000,1918,1918,163440,959000,795560,False,163440
6,6,-1.558549936675499,0.025,lazy_delta_inverse_square,0,0,0,1918,1918,163440,959000,795560,False,163440
7,7,0.3767841013242514,0.05,lazy_delta_inverse_square,0,0,0,1918,1918,163440,959000,795560,False,163440
8,8,-0.5574669693842119,0.025,lazy_delta_inverse_square,0,0,0,1918,1918,163440,959000,795560,False,163440
9,9,0.7582186488638436,0.05,lazy_delta_inverse_square,0,0,0,1918,1918,163440,959000,795560,False,163440
10,10,-2.810285565770261,0.025,lazy_delta_inverse_square,10000,10000,10000,1918,1918,173440,959000,785560,False,173440
11,11,0.1693759125360793,0.05,lazy_delta_inverse_square,0,0,0,1918,1918,173440,959000,785560,False,173440
12,12,-0.8417402327577501,0.025,lazy_delta_inverse_square,0,0,0,1918,1918,173440,959000,785560,False,173440
13,13,-0.30763454329272544,0.0125,lazy_delta_inverse_square,0,0,0,1918,1918,173440,959000,785560,False,173440
14,14,0.7101065290550693,0.025,lazy_delta_inverse_square,0,0,0,1918,1918,173440,959000,785560,False,173440
15,15,-3.6447657149509385,0.0125,lazy_delta_inverse_square,10000,10000,10000,1918,1918,183440,959000,775560,False,183440
16,16,0.2750526423187969,0.025,lazy_delta_inverse_square,0,0,0,1918,1918,183440,959000,775560,False,183440
17,17,-2.0493127614033857,0.0125,lazy_delta_inverse_square,0,0,0,1918,1918,183440,959000,775560,False,183440
