reference,gate,entanglement_infidelity,average_gate_infidelity,diamond_distance
truth,[],0.00018015657696235365,0.0001201043846415691,0.001212194446964286
truth,Gxpi2:0,6.59180288046235e-05,4.394535253641566e-05,0.0015800284315787274
truth,Gypi2:0,7.283025105730978e-05,4.855350070487319e-05,0.0029673939242012186
truth,Gzpi2:0,9.836290413267612e-05,6.557526942178409e-05,0.0023255880686437235
