reference,gate,entanglement_infidelity,average_gate_infidelity,diamond_distance,eigenvalue_nonunitarity_excess,eigenvalue_diamondnorm,eigenvalue_nonunitary_diamondnorm
truth,[],4.948155726081094e-05,3.298770484054062e-05,0.0005305405566768937,4.942680022784751e-05,0.0003535704266425741,6.0922740834468136e-05
truth,Gxpi2:0,0.00013008483773802038,8.672322515868025e-05,0.002393061911007342,0.0004901946423911674,0.0009559545510486032,0.0006497582158605519
truth,Gypi2:0,0.00021381732132852438,0.00014254488088568293,0.00353342322498472,-0.00020990532875919676,0.0010091740527154176,0.00036345009240146275
truth,Gzpi2:0,0.0010432291315046749,0.0006954860876697833,0.004668383555040665,-0.00013782641248344385,0.0008350705135478858,0.0005160639297709935
ideal,[],4.948155726081094e-05,3.298770484054062e-05,0.00053040825805346,4.942680022784751e-05,0.0003535704266425741,6.0922740834468136e-05
ideal,Gxpi2:0,0.005053257254679755,0.0033688381697865033,0.0158870755288313,0.005029314086654524,0.0060696141625944,0.00606927338129884
ideal,Gypi2:0,0.006252312648252212,0.004168208432168141,0.017425947550149687,0.006223592810776918,0.01119957112514951,0.007547625666206176
ideal,Gzpi2:0,0.004287944398441268,0.0028586295989608454,0.024501662271875398,0.004181013195274003,0.014161418202593111,0.004209115482630421
