reference,gate,entanglement_infidelity,average_gate_infidelity,diamond_distance,eigenvalue_nonunitarity_excess,eigenvalue_diamondnorm,eigenvalue_nonunitary_diamondnorm
truth,[],3.083729061659213e-05,2.0558193744394753e-05,0.0002788830729587808,3.08233297887095e-05,0.00018076024264262366,3.721526795896768e-05
truth,Gxpi2:0,-9.428719457860169e-06,-6.285812971906779e-06,0.001068735952171317,2.445727549665877e-05,0.0004362333741538748,4.133280951726381e-05
truth,Gypi2:0,3.501082725154703e-05,2.3340551501031353e-05,0.001065418925287811,0.0001230331657635919,0.00013060049735525613,0.00013057271729385866
truth,Gzpi2:0,2.174667062981861e-05,1.4497780419879073e-05,0.001058177695916064,-0.00026619899784074974,0.00032345365169580975,0.00032345365169580975
