reference,gate,entanglement_infidelity,average_gate_infidelity,diamond_distance,eigenvalue_nonunitarity_excess,eigenvalue_diamondnorm,eigenvalue_nonunitary_diamondnorm
truth,[],1.694268263863208e-05,1.1295121759088053e-05,0.00014662907479330288,1.693950419726087e-05,8.63185601734721e-05,1.731544861136025e-05
truth,Gxpi2:0,0.00010970983483704622,7.313988989136415e-05,0.0015127361768915964,3.703663969403803e-05,0.00013396251831308766,6.388130092596644e-05
truth,Gypi2:0,4.980577131707964e-05,3.320384754471976e-05,0.0015614931094506538,-0.00021919108990270386,0.0004125459283918305,0.00032034300238983904
truth,Gzpi2:0,7.036789216263717e-05,4.691192810842478e-05,0.0014847182215079805,7.804847104941892e-06,3.9334639736626764e-05,3.9334639736626764e-05
ideal,[],1.6942682638854123e-05,1.1295121759236082e-05,0.00014649517877220086,1.693950419726087e-05,8.63185601734721e-05,1.731544861136025e-05
ideal,Gxpi2:0,0.004603889132956285,0.0030692594219708567,0.01524202788377901,0.004576388167441159,0.005535518829018142,0.005483396466364254
ideal,Gypi2:0,0.0062519270538822225,0.004167951369254815,0.01852334890023693,0.006215752067681962,0.011742453712095265,0.0075907327562177995
ideal,Gzpi2:0,0.004444743871988344,0.0029631625813255624,0.025563664054214806,0.004325166968422861,0.014930796961691544,0.004685844772664788
