reference,gate,entanglement_infidelity,average_gate_infidelity,diamond_distance,eigenvalue_nonunitarity_excess,eigenvalue_diamondnorm,eigenvalue_nonunitary_diamondnorm
truth,[],3.0111581995617698e-06,2.0074387997078467e-06,8.5542071499246e-05,3.0095696767207247e-06,5.987050090059048e-05,3.2326198542986795e-06
truth,Gxpi2:0,3.457614240365281e-06,2.305076160243521e-06,0.0002955759839570416,1.3571844064086402e-05,9.843430544287133e-05,1.5156501383950527e-05
truth,Gypi2:0,2.9123825531218728e-06,1.941588368747915e-06,0.00040291685887496823,7.451447347484041e-07,9.269438081037723e-05,1.684061627899025e-06
truth,Gzpi2:0,5.707185244618884e-06,3.804790163079256e-06,0.0004110326167584355,-4.948727680059717e-05,6.469434054601493e-05,5.3042528547764256e-05
ideal,[],3.0111581997838144e-06,2.0074387998558763e-06,8.552440609049404e-05,3.0095696767207247e-06,5.987050090059048e-05,3.2326198542986795e-06
ideal,Gxpi2:0,0.0045814743804218905,0.003054316253614594,0.015322577620977605,0.004554968144606125,0.005484457365529508,0.005434671666822238
ideal,Gypi2:0,0.006468847557446367,0.004312565038297578,0.018928027273738806,0.006428864554051894,0.012077496640244852,0.007911711537333138
ideal,Gzpi2:0,0.004389368011306072,0.0029262453408707145,0.02586124049917403,0.004269228871730341,0.01487739669167,0.00467213688385365
