reference,gate,entanglement_infidelity,average_gate_infidelity,diamond_distance
truth,[],1.2268170990203942e-06,8.178780660135961e-07,0.00026888124668671885
truth,Gxpi2:0,6.182258342224412e-05,4.121505561482941e-05,0.0014842463303136183
truth,Gypi2:0,3.499919680871599e-05,2.333279787247733e-05,0.002218981591691124
truth,Gzpi2:0,2.2885705180053506e-05,1.5257136786702338e-05,0.001418674394571327
ideal,[],1.2268170989093719e-06,8.178780659395812e-07,0.00026880068276489077
ideal,Gxpi2:0,0.004445717667472482,0.0029638117783149878,0.015113868242273534
ideal,Gypi2:0,0.006472436212849875,0.00431495747523325,0.018223267251538156
ideal,Gzpi2:0,0.004388240731172832,0.002925493820781888,0.02579567287938675
