germ_index,prep_fiducial_index,meas_fiducial_index
0,15,10
0,15,3
0,15,7
0,15,9
1,15,7
1,15,6
1,15,9
1,15,3
2,15,9
2,15,10
2,15,7
2,15,8
3,15,3
3,15,10
3,15,9
3,15,7
4,15,8
4,15,10
4,15,9
4,15,7
5,15,10
5,15,3
5,15,7
5,15,8
6,15,10
6,15,7
6,15,6
6,15,3
7,15,8
7,15,10
7,15,9
7,15,7
8,15,3
8,15,6
8,15,7
8,14,10
9,15,8
9,15,9
9,15,7
9,15,3
10,15,8
10,15,10
10,13,8
10,11,8
11,15,3
11,15,7
11,15,10
11,11,7
12,15,10
12,15,3
12,15,7
12,7,10
13,15,10
13,15,9
13,15,7
13,15,6
14,15,8
14,15,10
14,15,6
14,14,3
