germ_index,prep_fiducial_index,meas_fiducial_index
0,15,6
0,15,3
0,15,9
0,15,10
1,15,6
1,15,7
1,15,3
1,15,9
2,15,9
2,15,6
2,15,10
2,11,9
3,15,3
3,15,9
3,15,7
3,15,6
4,15,10
4,15,6
4,15,8
4,15,9
5,15,6
5,15,3
5,15,9
5,14,7
6,15,10
6,15,6
6,15,3
6,15,7
7,15,10
7,15,9
7,15,7
7,15,8
8,15,6
8,15,10
8,15,3
8,15,7
9,15,10
9,15,9
9,15,3
9,15,7
10,15,7
10,15,9
10,15,6
10,15,3
11,15,10
11,11,10
11,15,3
11,15,7
12,15,9
12,15,6
12,14,9
12,7,9
13,15,6
13,15,3
13,15,9
13,15,8
14,15,6
14,15,10
14,15,9
14,15,7
