germ_index,prep_fiducial_index,meas_fiducial_index
0,15,7
0,15,3
0,15,10
0,15,6
1,15,7
1,15,6
1,15,10
1,15,9
2,15,9
2,15,6
2,15,10
2,11,9
3,15,3
3,15,7
3,15,10
3,15,9
4,15,10
4,15,8
4,15,9
4,15,3
5,15,7
5,15,3
5,15,10
5,14,10
6,15,10
6,15,7
6,15,3
6,15,6
7,15,3
7,15,10
7,15,7
7,15,8
8,15,7
8,15,6
8,15,3
8,15,9
9,15,3
9,15,9
9,15,10
9,15,8
10,15,10
10,15,7
10,14,9
10,15,3
11,15,3
11,15,7
11,7,3
11,15,6
12,15,9
12,15,3
12,15,7
12,14,9
13,15,7
13,15,3
13,15,9
13,14,7
14,15,9
14,15,8
14,14,9
14,15,3
