germ_index,prep_fiducial_index,meas_fiducial_index
0,15,6
0,15,10
0,15,3
0,14,8
1,15,8
1,15,6
1,15,10
1,15,3
2,15,10
2,15,6
2,15,9
2,15,8
3,15,8
3,15,9
3,15,7
3,15,10
4,15,8
4,15,10
4,15,6
4,15,9
5,15,6
5,15,7
5,15,10
5,15,3
6,15,6
6,15,8
6,15,3
6,15,10
7,15,6
7,15,10
7,15,3
7,11,6
8,15,6
8,15,3
8,15,10
8,15,8
9,15,6
9,15,10
9,15,7
9,14,6
10,15,10
10,15,7
10,15,6
10,15,3
11,15,3
11,15,10
11,15,8
11,11,3
12,15,8
12,15,10
12,15,3
12,11,8
13,15,6
13,15,8
13,15,10
13,15,3
14,15,6
14,11,6
14,15,8
14,11,10
