germ_index,prep_fiducial_index,meas_fiducial_index
0,15,10
0,15,8
0,15,6
0,15,3
1,15,6
1,15,10
1,15,8
1,15,9
2,15,10
2,15,9
2,15,6
2,15,3
3,15,3
3,15,8
3,15,10
3,15,7
4,15,10
4,15,8
4,15,3
4,15,9
5,15,10
5,15,3
5,15,6
5,15,8
6,15,3
6,15,10
6,15,6
6,15,9
7,15,10
7,15,3
7,15,8
7,15,9
8,15,10
8,15,6
8,15,8
8,15,9
9,15,6
9,15,10
9,15,3
9,15,9
10,15,10
10,15,6
10,15,3
10,15,9
11,15,10
11,15,3
11,15,8
11,15,6
12,15,6
12,15,3
12,13,6
12,15,10
13,15,3
13,15,6
13,15,10
13,15,8
14,15,3
14,15,9
14,7,3
14,13,7
