germ_index,prep_fiducial_index,meas_fiducial_index
0,15,7
0,15,6
0,15,9
0,15,8
1,15,6
1,15,8
1,15,10
1,15,9
2,15,9
2,15,8
2,15,10
2,15,6
3,15,3
3,15,7
3,15,9
3,15,6
4,15,10
4,15,8
4,15,6
4,15,3
5,15,3
5,15,10
5,15,8
5,15,7
6,15,3
6,15,10
6,15,7
6,15,9
7,15,9
7,15,3
7,15,8
7,15,7
8,15,10
8,15,6
8,15,8
8,15,9
9,15,3
9,15,9
9,15,7
9,15,8
10,15,3
10,15,7
10,15,6
10,15,8
11,15,7
11,15,3
11,15,10
11,11,7
12,15,9
12,15,8
12,15,3
12,15,7
13,15,10
13,15,8
13,15,3
13,11,3
14,15,6
14,15,7
14,15,10
14,15,8
