reference,gate,entanglement_infidelity,average_gate_infidelity,diamond_distance
truth,[],9.344644254616341e-06,6.229762836410894e-06,9.99080219302619e-05
truth,Gxpi2:0,1.4133567557417237e-05,9.422378371611492e-06,0.0007305856337149298
truth,Gypi2:0,1.0426913793049053e-05,6.951275862032702e-06,0.000979108943037931
truth,Gzpi2:0,6.078173237689111e-05,4.0521154917927404e-05,0.0013486586920711462
ideal,[],9.344644254727363e-06,6.229762836484909e-06,9.997946995101319e-05
ideal,Gxpi2:0,0.004540193727300412,0.003026795818200275,0.015420846670261522
ideal,Gypi2:0,0.006530511881412959,0.00435367458760864,0.01922629204868651
ideal,Gzpi2:0,0.004424863479472796,0.0029499089863151973,0.02604626950491358
