reference,member_type,member,vector_l2_error
truth,prep,rho0,0.0020417216728465786
truth,povm_effect,Mdefault:0,0.00473507736126978
truth,povm_effect,Mdefault:1,0.004734957700446029
ideal,prep,rho0,0.008214154992429118
ideal,povm_effect,Mdefault:0,0.011328485694761652
ideal,povm_effect,Mdefault:1,0.01133149920420793
