iteration,nf,previous_rho,trust_region_delta,adaptive_schedule,requested_budget,scheduled_budget,shots_added,active_circuits,revealed_union_circuits,accounted_revealed_shots,total_shot_budget,remaining_shot_budget,shot_budget_exhausted,physical_precomputed_shots
0,0,,0.1,lazy_delta_inverse_square,0,0,0,1918,1918,205226,819000,613774,False,205226
1,1,46.5874425756369,0.2,lazy_delta_inverse_square,0,0,0,1918,1918,205226,819000,613774,False,205226
2,2,-1.9251094814734608,0.1,lazy_delta_inverse_square,0,0,0,1918,1918,205226,819000,613774,False,205226
3,3,-1.4894737173734,0.05,lazy_delta_inverse_square,0,0,0,1918,1918,205226,819000,613774,False,205226
4,4,0.5034423673318047,0.1,lazy_delta_inverse_square,0,0,0,1918,1918,205226,819000,613774,False,205226
5,5,-2.8291124073422385,0.05,lazy_delta_inverse_square,10000,10000,10000,1918,1918,215226,819000,603774,False,215226
6,6,0.00596302224305608,0.025,lazy_delta_inverse_square,0,0,0,1918,1918,215226,819000,603774,False,215226
7,7,0.8513508739855864,0.05,lazy_delta_inverse_square,0,0,0,1918,1918,215226,819000,603774,False,215226
8,8,-3.030712745921269,0.025,lazy_delta_inverse_square,0,0,0,1918,1918,215226,819000,603774,False,215226
9,9,0.19227426850599955,0.05,lazy_delta_inverse_square,0,0,0,1918,1918,215226,819000,603774,False,215226
10,10,0.46830752337155906,0.1,lazy_delta_inverse_square,10000,10000,10000,1918,1918,225226,819000,593774,False,225226
11,11,-1.2422920769437393,0.05,lazy_delta_inverse_square,0,0,0,1918,1918,225226,819000,593774,False,225226
12,12,-1.2422920769437393,0.025,lazy_delta_inverse_square,0,0,0,1918,1918,225226,819000,593774,False,225226
13,13,-0.14678577968519474,0.0125,lazy_delta_inverse_square,0,0,0,1918,1918,225226,819000,593774,False,225226
14,14,0.5895180684336887,0.025,lazy_delta_inverse_square,0,0,0,1918,1918,225226,819000,593774,False,225226
15,15,-2.7699398661689503,0.0125,lazy_delta_inverse_square,10000,10000,9894,1918,1918,235120,819000,583880,False,235120
16,16,0.328756282485541,0.025,lazy_delta_inverse_square,0,0,0,1918,1918,235120,819000,583880,False,235120
17,17,-2.958801682019707,0.0125,lazy_delta_inverse_square,0,0,0,1918,1918,235120,819000,583880,False,235120
18,18,0.28498602635212894,0.025,lazy_delta_inverse_square,0,0,0,1918,1918,235120,819000,583880,False,235120
19,19,-1.9213623278249765,0.0125,lazy_delta_inverse_square,0,0,0,1918,1918,235120,819000,583880,False,235120
20,20,-0.4714732836173671,0.00625,lazy_delta_inverse_square,10000,10000,10000,1918,1918,245120,819000,573880,False,245120
21,21,0.6257796032631442,0.0125,lazy_delta_inverse_square,0,0,0,1918,1918,245120,819000,573880,False,245120
22,22,-3.7618131360422797,0.00625,lazy_delta_inverse_square,0,0,0,1918,1918,245120,819000,573880,False,245120
23,23,0.23269143357026198,0.0125,lazy_delta_inverse_square,0,0,0,1918,1918,245120,819000,573880,False,245120
24,24,-4.170001030774257,0.00625,lazy_delta_inverse_square,0,0,0,1918,1918,245120,819000,573880,False,245120
25,25,-0.29704566197350085,0.003125,lazy_delta_inverse_square,10000,10000,10000,1918,1918,255120,819000,563880,False,255120
26,26,0.8941301585517948,0.00625,lazy_delta_inverse_square,0,0,0,1918,1918,255120,819000,563880,False,255120
27,27,-8.36752722382576,0.003125,lazy_delta_inverse_square,0,0,0,1918,1918,255120,819000,563880,False,255120
28,28,-0.7781088854521032,0.0015625,lazy_delta_inverse_square,0,0,0,1918,1918,255120,819000,563880,False,255120
29,29,0.6532448432112787,0.003125,lazy_delta_inverse_square,0,0,0,1918,1918,255120,819000,563880,False,255120
30,30,-3.131449427741372,0.0015625,lazy_delta_inverse_square,10000,10000,9860,1918,1918,264980,819000,554020,False,264980
31,31,0.5487821954504664,0.003125,lazy_delta_inverse_square,0,0,0,1918,1918,264980,819000,554020,False,264980
32,32,-1.8568527058435096,0.0015625,lazy_delta_inverse_square,0,0,0,1918,1918,264980,819000,554020,False,264980
33,33,0.4751326721107883,0.003125,lazy_delta_inverse_square,0,0,0,1918,1918,264980,819000,554020,False,264980
34,34,-7.403979671727328,0.0015625,lazy_delta_inverse_square,0,0,0,1918,1918,264980,819000,554020,False,264980
35,35,0.16509087462699135,0.003125,lazy_delta_inverse_square,10000,10000,9925,1918,1918,274905,819000,544095,False,274905
36,36,-1.601030836980825,0.0015625,lazy_delta_inverse_square,0,0,0,1918,1918,274905,819000,544095,False,274905
37,37,0.4181851450041593,0.003125,lazy_delta_inverse_square,0,0,0,1918,1918,274905,819000,544095,False,274905
38,38,-2.721038991260006,0.0015625,lazy_delta_inverse_square,0,0,0,1918,1918,274905,819000,544095,False,274905
39,39,0.2506706524360932,0.003125,lazy_delta_inverse_square,0,0,0,1918,1918,274905,819000,544095,False,274905
40,40,-4.219164129048731,0.0015625,lazy_delta_inverse_square,10000,10000,10000,1918,1918,284905,819000,534095,False,284905
41,41,0.3054138011780764,0.003125,lazy_delta_inverse_square,0,0,0,1918,1918,284905,819000,534095,False,284905
42,42,-1.283542576996497,0.0015625,lazy_delta_inverse_square,0,0,0,1918,1918,284905,819000,534095,False,284905
43,43,0.3079792790115952,0.003125,lazy_delta_inverse_square,0,0,0,1918,1918,284905,819000,534095,False,284905
44,44,-5.857767750687745,0.0015625,lazy_delta_inverse_square,0,0,0,1918,1918,284905,819000,534095,False,284905
45,45,-0.29765984627256015,0.00078125,lazy_delta_inverse_square,10000,10000,9941,1918,1918,294846,819000,524154,False,294846
46,46,0.9219821207708083,0.0015625,lazy_delta_inverse_square,0,0,0,1918,1918,294846,819000,524154,False,294846
47,47,-0.5353732613491721,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,294846,819000,524154,False,294846
48,48,0.3949477010194187,0.0015625,lazy_delta_inverse_square,0,0,0,1918,1918,294846,819000,524154,False,294846
49,49,-1.1752685647973158,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,294846,819000,524154,False,294846
50,50,0.3793095807023718,0.0015625,lazy_delta_inverse_square,10000,10000,10000,1918,1918,304846,819000,514154,False,304846
51,51,-0.3069808369393593,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,304846,819000,514154,False,304846
52,52,0.7313134278352131,0.0015625,lazy_delta_inverse_square,0,0,0,1918,1918,304846,819000,514154,False,304846
53,53,-2.460678483552503,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,304846,819000,514154,False,304846
54,54,-0.01889309159623594,0.000390625,lazy_delta_inverse_square,0,0,0,1918,1918,304846,819000,514154,False,304846
55,55,0.6208268990213024,0.00078125,lazy_delta_inverse_square,10000,10000,9916,1918,1918,314762,819000,504238,False,314762
56,56,0.6491089735561353,0.0015625,lazy_delta_inverse_square,0,0,0,1918,1918,314762,819000,504238,False,314762
57,57,-1.0154996469028938,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,314762,819000,504238,False,314762
58,58,0.45224968653120334,0.0015625,lazy_delta_inverse_square,0,0,0,1918,1918,314762,819000,504238,False,314762
59,59,-3.0036375735069916,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,314762,819000,504238,False,314762
60,60,-0.17983046834011773,0.000390625,lazy_delta_inverse_square,10000,10000,9904,1918,1918,324666,819000,494334,False,324666
61,61,0.9359795676205745,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,324666,819000,494334,False,324666
62,62,-0.10308152363058808,0.000390625,lazy_delta_inverse_square,0,0,0,1918,1918,324666,819000,494334,False,324666
63,63,0.6145005495960767,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,324666,819000,494334,False,324666
64,64,0.1560353197909793,0.0015625,lazy_delta_inverse_square,0,0,0,1918,1918,324666,819000,494334,False,324666
65,65,-0.641033885513036,0.00078125,lazy_delta_inverse_square,10000,10000,10000,1918,1918,334666,819000,484334,False,334666
