iteration,nf,previous_rho,trust_region_delta,adaptive_schedule,requested_budget,scheduled_budget,shots_added,active_circuits,revealed_union_circuits,accounted_revealed_shots,total_shot_budget,remaining_shot_budget,shot_budget_exhausted,physical_precomputed_shots
0,0,,0.1,lazy_delta_inverse_square,0,0,0,1918,1918,9590,191800,182210,False,9590
1,1,23.07872922824984,0.2,lazy_delta_inverse_square,0,0,0,1918,1918,9590,191800,182210,False,9590
2,2,-1.7416970140275698,0.1,lazy_delta_inverse_square,0,0,0,1918,1918,9590,191800,182210,False,9590
3,3,-0.14327902524974898,0.05,lazy_delta_inverse_square,0,0,0,1918,1918,9590,191800,182210,False,9590
4,4,0.6375064799095079,0.1,lazy_delta_inverse_square,0,0,0,1918,1918,9590,191800,182210,False,9590
5,5,-3.5869401489304726,0.05,lazy_delta_inverse_square,10000,10000,10000,1918,1918,19590,191800,172210,False,19590
6,6,-0.24784824089116114,0.025,lazy_delta_inverse_square,0,0,0,1918,1918,19590,191800,172210,False,19590
7,7,0.7154527092860119,0.05,lazy_delta_inverse_square,0,0,0,1918,1918,19590,191800,172210,False,19590
8,8,-1.0505437180709798,0.025,lazy_delta_inverse_square,0,0,0,1918,1918,19590,191800,172210,False,19590
9,9,0.5855749130391381,0.05,lazy_delta_inverse_square,0,0,0,1918,1918,19590,191800,172210,False,19590
10,10,-3.417166260869271,0.025,lazy_delta_inverse_square,10000,10000,10000,1918,1918,29590,191800,162210,False,29590
11,11,-0.3695307982985633,0.0125,lazy_delta_inverse_square,0,0,0,1918,1918,29590,191800,162210,False,29590
12,12,0.7747266795433743,0.025,lazy_delta_inverse_square,0,0,0,1918,1918,29590,191800,162210,False,29590
13,13,-1.5513403222498892,0.0125,lazy_delta_inverse_square,0,0,0,1918,1918,29590,191800,162210,False,29590
14,14,0.29797792187373034,0.025,lazy_delta_inverse_square,0,0,0,1918,1918,29590,191800,162210,False,29590
15,15,-0.7966395440498389,0.0125,lazy_delta_inverse_square,10000,10000,10000,1918,1918,39590,191800,152210,False,39590
16,16,0.2849309957109332,0.025,lazy_delta_inverse_square,0,0,0,1918,1918,39590,191800,152210,False,39590
17,17,-1.0145645747950698,0.0125,lazy_delta_inverse_square,0,0,0,1918,1918,39590,191800,152210,False,39590
18,18,0.41460290835713665,0.025,lazy_delta_inverse_square,0,0,0,1918,1918,39590,191800,152210,False,39590
19,19,-2.773076372865432,0.0125,lazy_delta_inverse_square,0,0,0,1918,1918,39590,191800,152210,False,39590
20,20,0.014896469892652814,0.00625,lazy_delta_inverse_square,10000,10000,10000,1918,1918,49590,191800,142210,False,49590
21,21,0.8494675371980023,0.0125,lazy_delta_inverse_square,0,0,0,1918,1918,49590,191800,142210,False,49590
22,22,-1.6088830984357851,0.00625,lazy_delta_inverse_square,0,0,0,1918,1918,49590,191800,142210,False,49590
23,23,0.45042657694539223,0.0125,lazy_delta_inverse_square,0,0,0,1918,1918,49590,191800,142210,False,49590
24,24,-4.142260853729976,0.00625,lazy_delta_inverse_square,0,0,0,1918,1918,49590,191800,142210,False,49590
25,25,-0.09119003123951068,0.003125,lazy_delta_inverse_square,10000,10000,10000,1918,1918,59590,191800,132210,False,59590
26,26,0.8194008154076162,0.00625,lazy_delta_inverse_square,0,0,0,1918,1918,59590,191800,132210,False,59590
27,27,-9.735735063225341,0.003125,lazy_delta_inverse_square,0,0,0,1918,1918,59590,191800,132210,False,59590
28,28,-0.7043040598226112,0.0015625,lazy_delta_inverse_square,0,0,0,1918,1918,59590,191800,132210,False,59590
29,29,0.5530664692094849,0.003125,lazy_delta_inverse_square,0,0,0,1918,1918,59590,191800,132210,False,59590
30,30,-2.5447620036922833,0.0015625,lazy_delta_inverse_square,10000,10000,10000,1918,1918,69590,191800,122210,False,69590
31,31,0.46994947855074914,0.003125,lazy_delta_inverse_square,0,0,0,1918,1918,69590,191800,122210,False,69590
32,32,-2.4590247137892165,0.0015625,lazy_delta_inverse_square,0,0,0,1918,1918,69590,191800,122210,False,69590
33,33,0.3380490643050162,0.003125,lazy_delta_inverse_square,0,0,0,1918,1918,69590,191800,122210,False,69590
34,34,-3.37350892753252,0.0015625,lazy_delta_inverse_square,0,0,0,1918,1918,69590,191800,122210,False,69590
35,35,-0.23859695817763274,0.00078125,lazy_delta_inverse_square,10000,10000,10000,1918,1918,79590,191800,112210,False,79590
36,36,0.8272894760071695,0.0015625,lazy_delta_inverse_square,0,0,0,1918,1918,79590,191800,112210,False,79590
37,37,-1.3366491444124706,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,79590,191800,112210,False,79590
38,38,0.19715506862584384,0.0015625,lazy_delta_inverse_square,0,0,0,1918,1918,79590,191800,112210,False,79590
39,39,-0.6514548603827571,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,79590,191800,112210,False,79590
40,40,0.3922885297244542,0.0015625,lazy_delta_inverse_square,10000,10000,10000,1918,1918,89590,191800,102210,False,89590
41,41,0.02546440830179987,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,89590,191800,102210,False,89590
42,42,0.8176209976016475,0.0015625,lazy_delta_inverse_square,0,0,0,1918,1918,89590,191800,102210,False,89590
