seed,arm,infidelity,diamond,spam,accounted_revealed_shots,revealed_circuits,total_circuits,objective,flag,seconds,error
103,fixed_fpr,1.0053154134104236e-05,0.0007723762496989,0.0006754398871893,5244000,874,1918,poisson_logl,2.665068355571959,2727.7,
103,fixed_no_fpr,3.220070979287337e-05,0.0006699381930145,0.0006931269303566,5243812,1918,1918,poisson_logl,0.21582676604130036,2429.6,
103,lm,2.9245041575448605e-05,0.0006465527683014,0.0006876222111389,5243812,1918,1918,chi2_ladder_then_mle,LM,118.0,
103,lm_mle,3.0694309956447174e-05,0.0006593195985965,0.0006911829330923,5243812,1918,1918,pure_mle,LM_MLE,73.7,
103,adaptive_D_nofpr_f010,3.812096425054312e-06,0.0001592999329576,0.0006163660773953,5244000,1918,1918,poisson_logl,0.183291165523886,1934.1,
103,adaptive_D_nofpr_f020,5.448200333990627e-06,0.0003531581199893,0.0012483244673204,5244000,1918,1918,poisson_logl,1.8338000256231397,1942.9,
103,adaptive_D_nofpr_f030,6.425161208190033e-06,0.000323776888221,0.0014040179602152,5244000,1918,1918,poisson_logl,0.5106980778811346,1908.3,
103,adaptive_D_nofpr_f040,1.890576340285444e-06,0.0002808470072289,0.0005329308987421,5244000,1918,1918,poisson_logl,5.695506583834605,1707.3,
103,adaptive_D_nofpr_f050,4.817245161464756e-06,0.0003845961310876,0.0013910810481275,5244000,1918,1918,poisson_logl,11.020019950300458,1930.6,
103,adaptive_D_nofpr_f060,3.044196040274949e-06,0.0003418362318391,0.0014659032183005,5244000,1918,1918,poisson_logl,3.0669710037429714,1701.4,
103,adaptive_D_nofpr_f070,2.012773326298678e-05,0.0005598420318241,0.0009082561479181,5244000,1918,1918,poisson_logl,9.317678684107102,2818.2,
103,adaptive_D_nofpr_f080,9.148395590269365e-06,0.0004575481520279,0.0005847720796955,5244000,1918,1918,poisson_logl,2.10176326090751,1740.7,
