iteration,nf,previous_rho,trust_region_delta,adaptive_schedule,requested_budget,scheduled_budget,shots_added,active_circuits,revealed_union_circuits,accounted_revealed_shots,total_shot_budget,remaining_shot_budget,shot_budget_exhausted,physical_precomputed_shots
46,46,0.9140862645567193,0.0015625,lazy_delta_inverse_square,0,0,0,1918,1918,330825,963000,632175,False,330825
47,47,-1.2649309401538242,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,330825,963000,632175,False,330825
48,48,0.5172630735441983,0.0015625,lazy_delta_inverse_square,0,0,0,1918,1918,330825,963000,632175,False,330825
49,49,-2.299804809322892,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,330825,963000,632175,False,330825
50,50,0.3700739818253342,0.0015625,lazy_delta_inverse_square,10000,10000,10000,1918,1918,340825,963000,622175,False,340825
51,51,-0.05046250986818312,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,340825,963000,622175,False,340825
52,52,0.7841338863458233,0.0015625,lazy_delta_inverse_square,0,0,0,1918,1918,340825,963000,622175,False,340825
53,53,-3.211842083822816,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,340825,963000,622175,False,340825
54,54,0.09054095705492968,0.0015625,lazy_delta_inverse_square,0,0,0,1918,1918,340825,963000,622175,False,340825
55,55,-2.2581476170973196,0.00078125,lazy_delta_inverse_square,10000,10000,10000,1918,1918,350825,963000,612175,False,350825
56,56,0.8878307324290072,0.0015625,lazy_delta_inverse_square,0,0,0,1918,1918,350825,963000,612175,False,350825
57,57,-0.4607061080835503,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,350825,963000,612175,False,350825
58,58,0.7368084870246798,0.0015625,lazy_delta_inverse_square,0,0,0,1918,1918,350825,963000,612175,False,350825
59,59,-0.4607383433277908,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,350825,963000,612175,False,350825
60,60,0.6025081034558443,0.0015625,lazy_delta_inverse_square,10000,10000,9956,1918,1918,360781,963000,602219,False,360781
61,61,-0.00693497464045459,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,360781,963000,602219,False,360781
62,62,0.8489716586052954,0.0015625,lazy_delta_inverse_square,0,0,0,1918,1918,360781,963000,602219,False,360781
63,63,-2.4137202747888358,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,360781,963000,602219,False,360781
64,64,0.02827911293718719,0.000390625,lazy_delta_inverse_square,0,0,0,1918,1918,360781,963000,602219,False,360781
65,65,0.39848775887809734,0.00078125,lazy_delta_inverse_square,10000,10000,10000,1918,1918,370781,963000,592219,False,370781
66,66,0.5721358878780233,0.0015625,lazy_delta_inverse_square,0,0,0,1918,1918,370781,963000,592219,False,370781
67,67,-2.817141339704891,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,370781,963000,592219,False,370781
68,68,-0.05041429833603112,0.000390625,lazy_delta_inverse_square,0,0,0,1918,1918,370781,963000,592219,False,370781
69,69,0.6572410258501098,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,370781,963000,592219,False,370781
70,70,-0.27127321151160194,0.000390625,lazy_delta_inverse_square,10000,10000,10000,1918,1918,380781,963000,582219,False,380781
71,71,0.9380354742354278,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,380781,963000,582219,False,380781
72,72,0.1018245637630772,0.0015625,lazy_delta_inverse_square,0,0,0,1918,1918,380781,963000,582219,False,380781
73,73,-2.7208185048145066,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,380781,963000,582219,False,380781
74,74,0.15465620684077222,0.0015625,lazy_delta_inverse_square,0,0,0,1918,1918,380781,963000,582219,False,380781
75,75,-1.8465984269564775,0.00078125,lazy_delta_inverse_square,10000,10000,10000,1918,1918,390781,963000,572219,False,390781
76,76,0.6360595770071277,0.0015625,lazy_delta_inverse_square,0,0,0,1918,1918,390781,963000,572219,False,390781
77,77,-1.549614132730161,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,390781,963000,572219,False,390781
78,78,0.056725845452507494,0.0015625,lazy_delta_inverse_square,0,0,0,1918,1918,390781,963000,572219,False,390781
79,79,-5.436920338965058,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,390781,963000,572219,False,390781
