reference,gate,entanglement_infidelity,average_gate_infidelity,diamond_distance,eigenvalue_nonunitarity_excess,eigenvalue_diamondnorm,eigenvalue_nonunitary_diamondnorm
truth,[],1.7237938696457178e-05,1.1491959130971452e-05,0.00010805432516464031,1.723654673491115e-05,5.857836437098042e-05,1.730685967812895e-05
truth,Gxpi2:0,3.545548962313738e-06,2.3636993082091586e-06,0.00044753570082611024,5.248496609289166e-05,0.00011900605721351872,0.00010040666076679972
truth,Gypi2:0,6.8859450015335e-06,4.590630001022333e-06,0.0004715681211259348,-5.183066745628739e-06,0.00012241012953819716,6.113964631995761e-05
truth,Gzpi2:0,6.953462035053093e-06,4.635641356702062e-06,0.0004982356297354135,5.208240269177766e-05,0.000108243528748854,6.747756138472671e-05
ideal,[],1.7237938696457178e-05,1.1491959130971452e-05,0.00010803406977086038,1.723654673491115e-05,5.857836437098042e-05,1.730685967812895e-05
ideal,Gxpi2:0,0.004620929256518691,0.003080619504345794,0.015491008614057916,0.004592846273501483,0.005564604713520939,0.0055199218262050875
ideal,Gypi2:0,0.006462809302517747,0.004308539535011831,0.018928513139016383,0.0064244210969908455,0.012034367242077747,0.00787300097166968
ideal,Gzpi2:0,0.004491609707873989,0.0029944064719159926,0.0260004508225193,0.004368071633912091,0.014869368153346833,0.004748166803721449
