reference,gate,entanglement_infidelity,average_gate_infidelity,diamond_distance
truth,[],2.5228186065984204e-05,1.6818790710656135e-05,0.00015541479087517813
truth,Gxpi2:0,5.6767793230605434e-06,3.784519548707029e-06,0.001166452377222414
truth,Gypi2:0,4.845263843811232e-06,3.2301758958741544e-06,0.0011866789520276703
truth,Gzpi2:0,3.0250401815146155e-05,2.016693454343077e-05,0.0008137466467727821
ideal,[],2.522818606587318e-05,1.681879071058212e-05,0.0001553280471033153
ideal,Gxpi2:0,0.004470832603439501,0.002980555068959667,0.014835473661851083
ideal,Gypi2:0,0.0065613394401631275,0.004374226293442085,0.018801390818039356
ideal,Gzpi2:0,0.004478508144582616,0.0029856720963884107,0.02589929892303529
