reference,member_type,member,vector_l2_error,tracedist
truth,prep,rho0,0.004380680126657152,0.003097602761294089
truth,povm,Mdefault,,0.0012280086667809578
truth,povm_effect,Mdefault:0,0.0019057740667120504,
truth,povm_effect,Mdefault:1,0.001898778645646226,
ideal,prep,rho0,0.00644647368671881,0.004558283988956615
ideal,povm,Mdefault,,0.004271794375146841
ideal,povm_effect,Mdefault:0,0.006054956927601265,
ideal,povm_effect,Mdefault:1,0.006058706596056307,
