iteration,nf,previous_rho,trust_region_delta,adaptive_schedule,requested_budget,scheduled_budget,shots_added,active_circuits,revealed_union_circuits,accounted_revealed_shots,total_shot_budget,remaining_shot_budget,shot_budget_exhausted,physical_precomputed_shots
0,0,,0.1,lazy_delta_inverse_square,0,0,0,1918,1918,95900,1918000,1822100,False,95900
1,1,17.072848307051427,0.2,lazy_delta_inverse_square,0,0,0,1918,1918,95900,1918000,1822100,False,95900
2,2,-0.8632467104319467,0.1,lazy_delta_inverse_square,0,0,0,1918,1918,95900,1918000,1822100,False,95900
3,3,0.23876048045512868,0.2,lazy_delta_inverse_square,0,0,0,1918,1918,95900,1918000,1822100,False,95900
4,4,-1.0767831519525808,0.1,lazy_delta_inverse_square,0,0,0,1918,1918,95900,1918000,1822100,False,95900
5,5,-0.5761980154366219,0.05,lazy_delta_inverse_square,10000,10000,10000,1918,1918,105900,1918000,1812100,False,105900
6,6,0.3654274297273248,0.1,lazy_delta_inverse_square,0,0,0,1918,1918,105900,1918000,1812100,False,105900
7,7,-1.3166054174079393,0.05,lazy_delta_inverse_square,0,0,0,1918,1918,105900,1918000,1812100,False,105900
8,8,0.012017087083209727,0.025,lazy_delta_inverse_square,0,0,0,1918,1918,105900,1918000,1812100,False,105900
9,9,0.8106817056718255,0.05,lazy_delta_inverse_square,0,0,0,1918,1918,105900,1918000,1812100,False,105900
10,10,-1.721325362202632,0.025,lazy_delta_inverse_square,10000,10000,10000,1918,1918,115900,1918000,1802100,False,115900
11,11,0.773611543912497,0.05,lazy_delta_inverse_square,0,0,0,1918,1918,115900,1918000,1802100,False,115900
12,12,-2.0116712626169075,0.025,lazy_delta_inverse_square,0,0,0,1918,1918,115900,1918000,1802100,False,115900
13,13,0.11506540500757563,0.05,lazy_delta_inverse_square,0,0,0,1918,1918,115900,1918000,1802100,False,115900
14,14,-1.0884799266582805,0.025,lazy_delta_inverse_square,0,0,0,1918,1918,115900,1918000,1802100,False,115900
15,15,0.6080574041918384,0.05,lazy_delta_inverse_square,10000,10000,10000,1918,1918,125900,1918000,1792100,False,125900
16,16,-4.068338692214147,0.025,lazy_delta_inverse_square,0,0,0,1918,1918,125900,1918000,1792100,False,125900
17,17,-0.4603557013765516,0.0125,lazy_delta_inverse_square,0,0,0,1918,1918,125900,1918000,1792100,False,125900
18,18,0.7573174145159316,0.025,lazy_delta_inverse_square,0,0,0,1918,1918,125900,1918000,1792100,False,125900
19,19,-5.634585379509016,0.0125,lazy_delta_inverse_square,0,0,0,1918,1918,125900,1918000,1792100,False,125900
20,20,-0.5673084586791918,0.00625,lazy_delta_inverse_square,10000,10000,10000,1918,1918,135900,1918000,1782100,False,135900
21,21,0.8916365508188847,0.0125,lazy_delta_inverse_square,0,0,0,1918,1918,135900,1918000,1782100,False,135900
22,22,-10.109935223057139,0.00625,lazy_delta_inverse_square,0,0,0,1918,1918,135900,1918000,1782100,False,135900
23,23,-0.9756988283857504,0.003125,lazy_delta_inverse_square,0,0,0,1918,1918,135900,1918000,1782100,False,135900
24,24,0.6851847267238148,0.00625,lazy_delta_inverse_square,0,0,0,1918,1918,135900,1918000,1782100,False,135900
25,25,-3.8751261894991402,0.003125,lazy_delta_inverse_square,10000,10000,10000,1918,1918,145900,1918000,1772100,False,145900
26,26,0.3388542737110005,0.00625,lazy_delta_inverse_square,0,0,0,1918,1918,145900,1918000,1772100,False,145900
27,27,-7.529662089839478,0.003125,lazy_delta_inverse_square,0,0,0,1918,1918,145900,1918000,1772100,False,145900
28,28,-0.6078010030646321,0.0015625,lazy_delta_inverse_square,0,0,0,1918,1918,145900,1918000,1772100,False,145900
29,29,0.7808417396497885,0.003125,lazy_delta_inverse_square,0,0,0,1918,1918,145900,1918000,1772100,False,145900
30,30,-5.971019855753482,0.0015625,lazy_delta_inverse_square,10000,10000,10000,1918,1918,155900,1918000,1762100,False,155900
31,31,0.24403055976842858,0.003125,lazy_delta_inverse_square,0,0,0,1918,1918,155900,1918000,1762100,False,155900
32,32,-3.5310940895878686,0.0015625,lazy_delta_inverse_square,0,0,0,1918,1918,155900,1918000,1762100,False,155900
33,33,0.48381698787494787,0.003125,lazy_delta_inverse_square,0,0,0,1918,1918,155900,1918000,1762100,False,155900
34,34,-7.591969628782971,0.0015625,lazy_delta_inverse_square,0,0,0,1918,1918,155900,1918000,1762100,False,155900
35,35,-1.1528623290621225,0.00078125,lazy_delta_inverse_square,10000,10000,10000,1918,1918,165900,1918000,1752100,False,165900
36,36,0.7219572550707428,0.0015625,lazy_delta_inverse_square,0,0,0,1918,1918,165900,1918000,1752100,False,165900
37,37,-1.1592123371664025,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,165900,1918000,1752100,False,165900
38,38,0.3549038266810047,0.0015625,lazy_delta_inverse_square,0,0,0,1918,1918,165900,1918000,1752100,False,165900
39,39,-2.6052075678391207,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,165900,1918000,1752100,False,165900
40,40,-0.04625753321407231,0.000390625,lazy_delta_inverse_square,10000,10000,10000,1918,1918,175900,1918000,1742100,False,175900
41,41,0.9395286302480101,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,175900,1918000,1742100,False,175900
42,42,-0.0468517256445475,0.000390625,lazy_delta_inverse_square,0,0,0,1918,1918,175900,1918000,1742100,False,175900
43,43,0.7045114538551541,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,175900,1918000,1742100,False,175900
44,44,-1.9418795503013009,0.000390625,lazy_delta_inverse_square,0,0,0,1918,1918,175900,1918000,1742100,False,175900
45,45,-0.16627841000642046,0.0001953125,lazy_delta_inverse_square,10000,10000,10000,1918,1918,185900,1918000,1732100,False,185900
46,46,0.985105838909207,0.000390625,lazy_delta_inverse_square,0,0,0,1918,1918,185900,1918000,1732100,False,185900
47,47,0.8316247375896472,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,185900,1918000,1732100,False,185900
48,48,0.1843864517289823,0.0015625,lazy_delta_inverse_square,0,0,0,1918,1918,185900,1918000,1732100,False,185900
49,49,-1.080254845800888,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,185900,1918000,1732100,False,185900
50,50,0.6060918443005573,0.0015625,lazy_delta_inverse_square,10000,10000,10000,1918,1918,195900,1918000,1722100,False,195900
51,51,-0.5640315795212212,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,195900,1918000,1722100,False,195900
52,52,0.6380859915194891,0.0015625,lazy_delta_inverse_square,0,0,0,1918,1918,195900,1918000,1722100,False,195900
53,53,-2.247183457089128,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,195900,1918000,1722100,False,195900
54,54,0.3797404039842388,0.0015625,lazy_delta_inverse_square,0,0,0,1918,1918,195900,1918000,1722100,False,195900
55,55,-3.9581793913932453,0.00078125,lazy_delta_inverse_square,10000,10000,10000,1918,1918,205900,1918000,1712100,False,205900
56,56,0.6862328402126581,0.0015625,lazy_delta_inverse_square,0,0,0,1918,1918,205900,1918000,1712100,False,205900
57,57,-1.9808995073198215,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,205900,1918000,1712100,False,205900
58,58,0.2643331137448677,0.0015625,lazy_delta_inverse_square,0,0,0,1918,1918,205900,1918000,1712100,False,205900
59,59,-2.589687013339373,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,205900,1918000,1712100,False,205900
60,60,0.010689270231088392,0.000390625,lazy_delta_inverse_square,10000,10000,10000,1918,1918,215900,1918000,1702100,False,215900
61,61,0.933287043850094,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,215900,1918000,1702100,False,215900
62,62,-0.0645967404645098,0.000390625,lazy_delta_inverse_square,0,0,0,1918,1918,215900,1918000,1702100,False,215900
63,63,0.6800842875037303,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,215900,1918000,1702100,False,215900
64,64,-0.6453632908603336,0.000390625,lazy_delta_inverse_square,0,0,0,1918,1918,215900,1918000,1702100,False,215900
65,65,0.5313860302593566,0.00078125,lazy_delta_inverse_square,10000,10000,10000,1918,1918,225900,1918000,1692100,False,225900
66,66,0.591638672371541,0.0015625,lazy_delta_inverse_square,0,0,0,1918,1918,225900,1918000,1692100,False,225900
67,67,-2.080749206870253,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,225900,1918000,1692100,False,225900
68,68,0.35147669643249413,0.0015625,lazy_delta_inverse_square,0,0,0,1918,1918,225900,1918000,1692100,False,225900
69,69,-3.5746512845104137,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,225900,1918000,1692100,False,225900
70,70,-0.05746697466552789,0.000390625,lazy_delta_inverse_square,10000,10000,10000,1918,1918,235900,1918000,1682100,False,235900
71,71,0.8964885844295096,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,235900,1918000,1682100,False,235900
72,72,-0.06493220556887916,0.000390625,lazy_delta_inverse_square,0,0,0,1918,1918,235900,1918000,1682100,False,235900
73,73,0.6098610286266964,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,235900,1918000,1682100,False,235900
74,74,-0.9032153857909739,0.000390625,lazy_delta_inverse_square,0,0,0,1918,1918,235900,1918000,1682100,False,235900
75,75,0.3804427332369514,0.00078125,lazy_delta_inverse_square,10000,10000,10000,1918,1918,245900,1918000,1672100,False,245900
76,76,0.40408624834253065,0.0015625,lazy_delta_inverse_square,0,0,0,1918,1918,245900,1918000,1672100,False,245900
77,77,-1.0003636314545847,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,245900,1918000,1672100,False,245900
78,78,0.5375590785605496,0.0015625,lazy_delta_inverse_square,0,0,0,1918,1918,245900,1918000,1672100,False,245900
79,79,-4.965692264304097,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,245900,1918000,1672100,False,245900
80,80,-0.8143483967701063,0.000390625,lazy_delta_inverse_square,11365,11365,11365,1918,1918,257265,1918000,1660735,False,257265
81,81,0.8576725557875906,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,257265,1918000,1660735,False,257265
82,82,-0.06779476881494782,0.000390625,lazy_delta_inverse_square,0,0,0,1918,1918,257265,1918000,1660735,False,257265
83,83,0.6906646437140521,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,257265,1918000,1660735,False,257265
84,84,-2.0800934331310605,0.000390625,lazy_delta_inverse_square,0,0,0,1918,1918,257265,1918000,1660735,False,257265
85,85,-0.1262008348522936,0.0001953125,lazy_delta_inverse_square,13175,13175,13175,1918,1918,270440,1918000,1647560,False,270440
86,86,0.9510017284590719,0.000390625,lazy_delta_inverse_square,0,0,0,1918,1918,270440,1918000,1647560,False,270440
87,87,0.6970082529607654,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,270440,1918000,1647560,False,270440
88,88,-0.7508499879867352,0.000390625,lazy_delta_inverse_square,0,0,0,1918,1918,270440,1918000,1647560,False,270440
89,89,0.34285767460994954,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,270440,1918000,1647560,False,270440
90,90,-0.39032521089038075,0.000390625,lazy_delta_inverse_square,15275,15275,15275,1918,1918,285715,1918000,1632285,False,285715
91,91,0.8537825213611816,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,285715,1918000,1632285,False,285715
92,92,-1.3072160015094685,0.000390625,lazy_delta_inverse_square,0,0,0,1918,1918,285715,1918000,1632285,False,285715
93,93,0.20266693243899297,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,285715,1918000,1632285,False,285715
94,94,-0.5723789425335916,0.000390625,lazy_delta_inverse_square,0,0,0,1918,1918,285715,1918000,1632285,False,285715
95,95,0.43787941315198636,0.00078125,lazy_delta_inverse_square,10000,10000,10000,1918,1918,295715,1918000,1622285,False,295715
96,96,0.03779884924607335,0.000390625,lazy_delta_inverse_square,0,0,0,1918,1918,295715,1918000,1622285,False,295715
97,97,0.750853511528292,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,295715,1918000,1622285,False,295715
98,98,-1.1688110969757737,0.000390625,lazy_delta_inverse_square,0,0,0,1918,1918,295715,1918000,1622285,False,295715
99,99,0.2134044423522227,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,295715,1918000,1622285,False,295715
100,100,-1.088171251358008,0.000390625,lazy_delta_inverse_square,20525,20525,20525,1918,1918,316240,1918000,1601760,False,316240
101,101,0.9419301649351284,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,316240,1918000,1601760,False,316240
102,102,-0.38269811091442024,0.000390625,lazy_delta_inverse_square,0,0,0,1918,1918,316240,1918000,1601760,False,316240
103,103,0.5368621513727415,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,316240,1918000,1601760,False,316240
104,104,-0.6139146559169774,0.000390625,lazy_delta_inverse_square,0,0,0,1918,1918,316240,1918000,1601760,False,316240
105,105,0.4524596855786123,0.00078125,lazy_delta_inverse_square,10000,10000,10000,1918,1918,326240,1918000,1591760,False,326240
106,106,0.1524403901770006,0.0015625,lazy_delta_inverse_square,0,0,0,1918,1918,326240,1918000,1591760,False,326240
107,107,-3.3857758386881636,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,326240,1918000,1591760,False,326240
108,108,-0.11903371501233122,0.000390625,lazy_delta_inverse_square,0,0,0,1918,1918,326240,1918000,1591760,False,326240
109,109,0.6710555242669839,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,326240,1918000,1591760,False,326240
110,110,-1.5341208083011428,0.000390625,lazy_delta_inverse_square,27585,27585,27585,1918,1918,353825,1918000,1564175,False,353825
111,111,0.9309258672200126,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,353825,1918000,1564175,False,353825
112,112,-0.4788801478157327,0.000390625,lazy_delta_inverse_square,0,0,0,1918,1918,353825,1918000,1564175,False,353825
113,113,0.463101227339561,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,353825,1918000,1564175,False,353825
114,114,-0.7119702340947058,0.000390625,lazy_delta_inverse_square,0,0,0,1918,1918,353825,1918000,1564175,False,353825
115,115,0.38437421034229546,0.00078125,lazy_delta_inverse_square,10000,10000,10000,1918,1918,363825,1918000,1554175,False,363825
116,116,0.12318285608364442,0.0015625,lazy_delta_inverse_square,0,0,0,1918,1918,363825,1918000,1554175,False,363825
117,117,-1.8442795303964645,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,363825,1918000,1554175,False,363825
118,118,0.25349257476027953,0.0015625,lazy_delta_inverse_square,0,0,0,1918,1918,363825,1918000,1554175,False,363825
119,119,-5.089315842981291,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,363825,1918000,1554175,False,363825
120,120,-0.24036102489615332,0.000390625,lazy_delta_inverse_square,32770,32770,32770,1918,1918,396595,1918000,1521405,False,396595
121,121,0.9003314810584395,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,396595,1918000,1521405,False,396595
