phase,nf,x_index,incumbent_index,active_objective,full_objective,incumbent_active_objective,incumbent_full_objective,active_residuals,active_circuits,new_residuals_revealed,new_circuits_revealed,union_residuals_revealed,union_circuits_revealed,cumulative_eval_residuals,cumulative_eval_circuits,cumulative_shots_revealed,cumulative_eval_shots,shots_per_circuit,fpr_enabled,fpr_use_union_mask,fpr_selected_residuals,fpr_selected_circuits,fpr_new_residuals,fpr_new_circuits,fpr_union_residuals,fpr_union_circuits,delta,ng,rho,rho_active,rho_full,rho_uses_full_objective,mdec,step_norm,accepted
initial,0,0,0,26531.19658877742,26531.19658877742,26531.19658877742,26531.19658877742,3836,1918,3836,1918,3836,1918,3836,1918,191800.0,191800.0,100.0,False,True,3836,1918,3836,1918,3836,1918,0.1,,,,,False,,,True
trial,1,1,1,12471.822770076435,12471.822770076435,12471.822770076435,12471.822770076435,3836,1918,0,0,3836,1918,7672,3836,191800.0,383600.0,100.0,False,True,3836,1918,0,0,3836,1918,0.1,121322.60773850973,21.072366037296327,21.072366037296327,21.072366037296327,False,-667.1948367742411,0.1,True
trial,2,2,1,19468.043856387398,19468.043856387398,12471.822770076435,12471.822770076435,3836,1918,0,0,3836,1918,11508,5754,191800.0,575400.0,100.0,False,True,3836,1918,0,0,3836,1918,0.2,67373.69956635985,-0.7512514328374283,-0.7512514328374283,-0.7512514328374283,False,-9312.755730643583,0.2,False
trial,3,3,1,14036.148160052624,14036.148160052624,12471.822770076435,12471.822770076435,3836,1918,0,0,3836,1918,15344,7672,191800.0,767200.0,100.0,False,True,3836,1918,0,0,3836,1918,0.1,67373.69956635985,-0.1682311970371097,-0.1682311970371097,-0.1682311970371097,False,-9298.66408565778,0.1,False
trial,4,4,4,4279.541230935227,4279.541230935227,4279.541230935227,4279.541230935227,3836,1918,0,0,3836,1918,19180,9590,191800.0,959000.0,100.0,False,True,3836,1918,0,0,3836,1918,0.05,67373.69956635985,0.9257427399111086,0.9257427399111086,0.9257427399111086,False,-8849.41483843324,0.05,True
trial,5,5,4,19031.90371246783,19031.90371246783,4279.541230935227,4279.541230935227,3836,1918,0,0,3836,1918,23016,11508,191800.0,1150800.0,100.0,False,True,3836,1918,0,0,3836,1918,0.1,132156.0902078887,-6.083704613097418,-6.083704613097418,-6.083704613097418,False,-2424.8978903039933,0.1,False
trial,6,6,4,8944.624576034064,8944.624576034064,4279.541230935227,4279.541230935227,3836,1918,0,0,3836,1918,26852,13426,191800.0,1342600.0,100.0,False,True,3836,1918,0,0,3836,1918,0.05,132156.0902078887,-1.9633632854889023,-1.9633632854889023,-1.9633632854889023,False,-2376.0673226285644,0.05,False
trial,7,7,7,3199.1611153629347,3199.1611153629347,3199.1611153629347,3199.1611153629347,3836,1918,0,0,3836,1918,30688,15344,191800.0,1534400.0,100.0,False,True,3836,1918,0,0,3836,1918,0.025,132156.0902078887,0.47298785030462576,0.47298785030462576,0.47298785030462576,False,-2284.1603962479758,0.025,True
trial,8,8,7,5458.9823207985755,5458.9823207985755,3199.1611153629347,3199.1611153629347,3836,1918,0,0,3836,1918,34524,17262,191800.0,1726200.0,100.0,False,True,3836,1918,0,0,3836,1918,0.05,58531.24167502924,-1.0620365189440553,-1.0620365189440553,-1.0620365189440553,False,-2127.818737986995,0.05,False
trial,9,9,9,2262.2356376401935,2262.2356376401935,2262.2356376401935,2262.2356376401935,3836,1918,0,0,3836,1918,38360,19180,191800.0,1918000.0,100.0,False,True,3836,1918,0,0,3836,1918,0.025,58531.24167502924,0.4422930083433412,0.4422930083433412,0.4422930083433412,False,-2118.3366231180144,0.025,True
trial,10,10,9,3730.7869040437154,3730.7869040437154,2262.2356376401935,2262.2356376401935,3836,1918,0,0,3836,1918,42196,21098,191800.0,2109800.0,100.0,False,True,3836,1918,0,0,3836,1918,0.05,85496.44041822756,-1.3014051429118865,-1.3014051429118865,-1.3014051429118865,False,-1128.4351183042406,0.05,False
trial,11,11,11,2025.355474018517,2025.355474018517,2025.355474018517,2025.355474018517,3836,1918,0,0,3836,1918,46032,23016,191800.0,2301600.0,100.0,False,True,3836,1918,0,0,3836,1918,0.025,85496.44041822756,0.21052020807228375,0.21052020807228375,0.21052020807228375,False,-1125.2134215084086,0.025,True
trial,12,12,11,3370.4693939066537,3370.4693939066537,2025.355474018517,2025.355474018517,3836,1918,0,0,3836,1918,49868,24934,191800.0,2493400.0,100.0,False,True,3836,1918,0,0,3836,1918,0.05,37545.30736350828,-1.2668515595649967,-1.2668515595649967,-1.2668515595649967,False,-1061.7770564611478,0.04985806059183159,False
trial,13,13,13,1599.2520739031206,1599.2520739031206,1599.2520739031206,1599.2520739031206,3836,1918,0,0,3836,1918,53704,26852,191800.0,2685200.0,100.0,False,True,3836,1918,0,0,3836,1918,0.025,37545.30736350828,0.40438352270942785,0.40438352270942785,0.40438352270942785,False,-1053.7110841224248,0.025,True
trial,14,14,13,2601.6870429015653,2601.6870429015653,1599.2520739031206,1599.2520739031206,3836,1918,0,0,3836,1918,57540,28770,191800.0,2877000.0,100.0,False,True,3836,1918,0,0,3836,1918,0.05,32862.40569268482,-1.532747151241272,-1.532747151241272,-1.532747151241272,False,-654.0119602810144,0.05,False
trial,15,15,15,1376.0054448213664,1376.0054448213664,1376.0054448213664,1376.0054448213664,3836,1918,0,0,3836,1918,61376,30688,191800.0,3068800.0,100.0,False,True,3836,1918,0,0,3836,1918,0.025,32862.40569268482,0.34181988013620956,0.34181988013620956,0.34181988013620956,False,-653.1118932953641,0.025,True
trial,16,16,15,2136.5335597039966,2136.5335597039966,1376.0054448213664,1376.0054448213664,3836,1918,0,0,3836,1918,65212,32606,191800.0,3260600.0,100.0,False,True,3836,1918,0,0,3836,1918,0.05,26278.29829573789,-1.7452251196679553,-1.7452251196679553,-1.7452251196679553,False,-435.77651175873945,0.04991978163110261,False
trial,17,17,15,1428.944981979555,1428.944981979555,1376.0054448213664,1376.0054448213664,3836,1918,0,0,3836,1918,69048,34524,191800.0,3452400.0,100.0,False,True,3836,1918,0,0,3836,1918,0.025,26278.29829573789,-0.12153671746071577,-0.12153671746071577,-0.12153671746071577,False,-435.5847209325875,0.025,False
trial,18,18,18,1029.4121481930933,1029.4121481930933,1029.4121481930933,1029.4121481930933,3836,1918,0,0,3836,1918,72884,36442,191800.0,3644200.0,100.0,False,True,3836,1918,0,0,3836,1918,0.0125,26278.29829573789,0.8068075893234772,0.8068075893234772,0.8068075893234772,False,-429.5860639076261,0.0125,True
trial,19,19,18,1844.966268622211,1844.966268622211,1029.4121481930933,1029.4121481930933,3836,1918,0,0,3836,1918,76720,38360,191800.0,3836000.0,100.0,False,True,3836,1918,0,0,3836,1918,0.025,10495.053161544958,-9.219602321094003,-9.219602321094003,-9.219602321094003,False,-88.45870917481649,0.025,False
trial,20,20,18,1082.2080384489914,1082.2080384489914,1029.4121481930933,1029.4121481930933,3836,1918,0,0,3836,1918,80556,40278,191800.0,4027800.0,100.0,False,True,3836,1918,0,0,3836,1918,0.0125,10495.053161544958,-0.6046408451996431,-0.6046408451996431,-0.6046408451996431,False,-87.31777000355581,0.0125,False
trial,21,21,21,956.0652042754836,956.0652042754836,956.0652042754836,956.0652042754836,3836,1918,0,0,3836,1918,84392,42196,191800.0,4219600.0,100.0,False,True,3836,1918,0,0,3836,1918,0.00625,10495.053161544958,0.8575246241277134,0.8575246241277134,0.8575246241277134,False,-85.53333846502586,0.00625,True
trial,22,22,21,1078.7674366163992,1078.7674366163992,956.0652042754836,956.0652042754836,3836,1918,0,0,3836,1918,88228,44114,191800.0,4411400.0,100.0,False,True,3836,1918,0,0,3836,1918,0.0125,3849.145191207085,-9.370328485510985,-9.370328485510985,-9.370328485510985,False,-13.094763169791314,0.0125,False
trial,23,23,21,967.3077064662411,967.3077064662411,956.0652042754836,956.0652042754836,3836,1918,0,0,3836,1918,92064,46032,191800.0,4603200.0,100.0,False,True,3836,1918,0,0,3836,1918,0.00625,3849.145191207085,-0.9236871578955187,-0.9236871578955187,-0.9236871578955187,False,-12.171331055821897,0.00625,False
trial,24,24,24,948.5539417578821,948.5539417578821,948.5539417578821,948.5539417578821,3836,1918,0,0,3836,1918,95900,47950,191800.0,4795000.0,100.0,False,True,3836,1918,0,0,3836,1918,0.003125,3849.145191207085,0.7158347504113279,0.7158347504113279,0.7158347504113279,False,-10.493011848454445,0.003125,True
trial,25,25,24,974.3857068126825,974.3857068126825,948.5539417578821,948.5539417578821,3836,1918,0,0,3836,1918,99736,49868,191800.0,4986800.0,100.0,False,True,3836,1918,0,0,3836,1918,0.00625,1364.2094920627355,-5.748981578392323,-5.748981578392323,-5.748981578392323,False,-4.493276713894815,0.00625,False
trial,26,26,24,949.3819570877508,949.3819570877508,948.5539417578821,948.5539417578821,3836,1918,0,0,3836,1918,103572,51786,191800.0,5178600.0,100.0,False,True,3836,1918,0,0,3836,1918,0.003125,1364.2094920627355,-0.23477930893164112,-0.23477930893164112,-0.23477930893164112,False,-3.526781527880991,0.003125,False
trial,27,27,27,946.8098274451628,946.8098274451628,946.8098274451628,946.8098274451628,3836,1918,0,0,3836,1918,107408,53704,191800.0,5370400.0,100.0,False,True,3836,1918,0,0,3836,1918,0.0015625,1364.2094920627355,0.6794992784880974,0.6794992784880974,0.6794992784880974,False,-2.5667640392495468,0.0015625,True
trial,28,28,27,950.4040471697292,950.4040471697292,946.8098274451628,946.8098274451628,3836,1918,0,0,3836,1918,111244,55622,191800.0,5562200.0,100.0,False,True,3836,1918,0,0,3836,1918,0.003125,534.2349511268197,-2.6623923356607686,-2.6623923356607686,-2.6623923356607686,False,-1.349996270806714,0.003125,False
trial,29,29,27,946.8488252926873,946.8488252926873,946.8098274451628,946.8098274451628,3836,1918,0,0,3836,1918,115080,57540,191800.0,5754000.0,100.0,False,True,3836,1918,0,0,3836,1918,0.0015625,534.2349511268197,-0.04636868349371197,-0.04636868349371197,-0.04636868349371197,False,-0.8410384894741425,0.0015625,False
trial,30,30,30,946.5156445258481,946.5156445258481,946.5156445258481,946.5156445258481,3836,1918,0,0,3836,1918,118916,59458,191800.0,5945800.0,100.0,False,True,3836,1918,0,0,3836,1918,0.00078125,534.2349511268197,0.5881890929310647,0.5881890929310647,0.5881890929310647,False,-0.5001502456442174,0.00078125,True
trial,31,31,30,947.1094330953916,947.1094330953916,946.5156445258481,946.5156445258481,3836,1918,0,0,3836,1918,122752,61376,191800.0,6137600.0,100.0,False,True,3836,1918,0,0,3836,1918,0.0015625,202.62154357909657,-1.0488963695125006,-1.0488963695125006,-1.0488963695125006,False,-0.5661079462211693,0.0015625,False
trial,32,32,32,946.4854477266794,946.4854477266794,946.4854477266794,946.4854477266794,3836,1918,0,0,3836,1918,126588,63294,191800.0,6329400.0,100.0,False,True,3836,1918,0,0,3836,1918,0.00078125,202.62154357909657,0.09704617809924439,0.09704617809924439,0.09704617809924439,False,-0.311159076639163,0.00078125,True
trial,33,33,32,946.8994682773169,946.8994682773169,946.4854477266794,946.4854477266794,3836,1918,0,0,3836,1918,130424,65212,191800.0,6521200.0,100.0,False,True,3836,1918,0,0,3836,1918,0.0015625,226.0855700326559,-0.5723431685161439,-0.5723431685161439,-0.5723431685161439,False,-0.7233781643816539,0.0015625,False
trial,34,34,34,946.3590332167836,946.3590332167836,946.3590332167836,946.3590332167836,3836,1918,0,0,3836,1918,134260,67130,191800.0,6713000.0,100.0,False,True,3836,1918,0,0,3836,1918,0.00078125,226.0855700326559,0.3164718716439412,0.3164718716439412,0.3164718716439412,False,-0.39944943365454755,0.00078125,True
trial,35,35,34,946.9875071060832,946.9875071060832,946.3590332167836,946.3590332167836,3836,1918,0,0,3836,1918,138096,69048,191800.0,6904800.0,100.0,False,True,3836,1918,0,0,3836,1918,0.0015625,224.44318107071305,-1.1531432470098026,-1.1531432470098026,-1.1531432470098026,False,-0.5450093827711955,0.0015625,False
trial,36,36,36,946.3379523144669,946.3379523144669,946.3379523144669,946.3379523144669,3836,1918,0,0,3836,1918,141932,70966,191800.0,7096600.0,100.0,False,True,3836,1918,0,0,3836,1918,0.00078125,224.44318107071305,0.07038168412420226,0.07038168412420226,0.07038168412420226,False,-0.29952256157332624,0.00078125,True
trial,37,37,36,946.7699269474058,946.7699269474058,946.3379523144669,946.3379523144669,3836,1918,0,0,3836,1918,145768,72884,191800.0,7288400.0,100.0,False,True,3836,1918,0,0,3836,1918,0.0015625,217.0323540088475,-0.6177005977695871,-0.6177005977695871,-0.6177005977695871,False,-0.6993268818238472,0.0015625,False
trial,38,38,38,946.221068549353,946.221068549353,946.221068549353,946.221068549353,3836,1918,0,0,3836,1918,149604,74802,191800.0,7480200.0,100.0,False,True,3836,1918,0,0,3836,1918,0.00078125,217.0323540088475,0.303445748846948,0.303445748846948,0.303445748846948,False,-0.3851883427530427,0.00078125,True
trial,39,39,38,946.8533535597929,946.8533535597929,946.221068549353,946.221068549353,3836,1918,0,0,3836,1918,153440,76720,191800.0,7672000.0,100.0,False,True,3836,1918,0,0,3836,1918,0.0015625,232.84451320964007,-1.1846071608669202,-1.1846071608669202,-1.1846071608669202,False,-0.5337507920998615,0.0015625,False
trial,40,40,40,946.2025789197955,946.2025789197955,946.2025789197955,946.2025789197955,3836,1918,0,0,3836,1918,157276,78638,191800.0,7863800.0,100.0,False,True,3836,1918,0,0,3836,1918,0.00078125,232.84451320964007,0.06308396706726924,0.06308396706726924,0.06308396706726924,False,-0.29309554260896276,0.00078125,True
trial,41,41,40,946.6504997754088,946.6504997754088,946.2025789197955,946.2025789197955,3836,1918,0,0,3836,1918,161112,80556,191800.0,8055600.0,100.0,False,True,3836,1918,0,0,3836,1918,0.0015625,226.6381967029027,-0.6511216882078719,-0.6511216882078719,-0.6511216882078719,False,-0.6879218796198874,0.0015625,False
