reference,gate,entanglement_infidelity,average_gate_infidelity,diamond_distance,eigenvalue_nonunitarity_excess,eigenvalue_diamondnorm,eigenvalue_nonunitary_diamondnorm
truth,[],7.828617343719202e-06,5.219078229146135e-06,0.0002139084769122446,7.818644397500352e-06,0.00014997202167360609,8.856477819951802e-06
truth,Gxpi2:0,9.139335988717079e-05,6.0928906591447195e-05,0.0016693671608203218,1.4983941073659635e-05,0.00030536118145999496,4.757581785813647e-05
truth,Gypi2:0,2.4069610556121113e-05,1.6046407037414074e-05,0.0015791915190373606,-6.191702891716888e-05,0.000238813434671767,8.114007666293332e-05
truth,Gzpi2:0,0.0002714662906866394,0.00018097752712442627,0.0018358201226722477,-0.00012393758581069614,0.0003827577998077749,0.00018741393497970216
ideal,[],7.828617343719202e-06,5.219078229146135e-06,0.00021366310914682754,7.818644397500352e-06,0.00014997202167360609,8.856477819951802e-06
ideal,Gxpi2:0,0.004586056078902168,0.003057370719268112,0.015744879198062875,0.004555971004262693,0.005476344165893574,0.0054659791778792766
ideal,Gypi2:0,0.006409942288044812,0.004273294858696541,0.019423656864841356,0.0063686621083585415,0.012268314255193875,0.007829935681944789
ideal,Gzpi2:0,0.004313525938614449,0.0028756839590762993,0.026137715528919962,0.004194598336379973,0.014561381929228494,0.004730790438838145
