stage,max_length,mean_gate_entanglement_infidelity_to_truth,mean_spam_vector_l2_error_to_truth,mean_gate_diamond_distance_to_truth
0,1,0.0009240831278017891,0.0047844481382135805,0.01806717977246785
1,2,0.001290955163777252,0.006186845623144939,0.010233580811156447
2,4,0.0009418483819761403,0.007618009188565554,0.009898017872326793
3,8,0.00029040556748252677,0.004272612067600591,0.006231629410357672
4,16,6.901547851487222e-05,0.003705159427779358,0.004046320566418697
5,32,4.359048736024551e-06,0.002984103079162107,0.002072902750318885
6,64,1.891350092764199e-06,0.0012915275064091663,0.001569225448831111
