seed,arm,infidelity,diamond,spam,accounted_revealed_shots,revealed_circuits,total_circuits,objective,flag,seconds,error
104,fixed_fpr,0.0002267489082397,0.0026447462243591,0.0052261031916173,139950,933,1918,poisson_logl,5.461352758003974,3610.4,
104,fixed_no_fpr,0.0004176098623304,0.0029109983305863,0.0091164327658162,138096,1918,1918,poisson_logl,0.41295382660913765,3063.0,
104,lm,0.0003314033068355,0.0031854462888095,0.0082976653312976,140014,1918,1918,chi2_ladder_then_mle,LM,43.0,
104,lm_mle,0.0004926732970725,0.0031951837409474,0.0083586972610408,140014,1918,1918,pure_mle,LM_MLE,48.2,
104,adaptive_D_nofpr_f005,4.425844111755062e-05,0.0015202016824532,0.0068269469971392,139950,1918,1918,poisson_logl,10.87670710846078,2382.9,
104,adaptive_D_nofpr_f010,0.0003726184152059,0.0022566747024306,0.0041359569473422,139950,1918,1918,poisson_logl,3.391214055843117,1726.4,
104,adaptive_D_nofpr_f020,0.0003116821803252,0.002010772636414,0.0049156887383682,139950,1918,1918,poisson_logl,2.1985009735451126,1775.5,
104,adaptive_D_nofpr_f030,0.0001320172191077,0.0017485268367895,0.0051940143308154,139950,1918,1918,poisson_logl,0.934177339568907,1162.8,
104,adaptive_D_nofpr_f040,0.0001243340041651,0.0019723917227402,0.0030604245786544,139950,1918,1918,poisson_logl,0.4119352414823506,1255.4,
104,adaptive_D_nofpr_f050,0.0001772745517034,0.0018646069593499,0.0055307904698162,139950,1918,1918,poisson_logl,5.615263436643812,996.3,
104,adaptive_D_nofpr_f060,0.0003511617066392,0.0026948961710161,0.004773420612383,139950,1918,1918,poisson_logl,11.426596339689056,1661.5,
104,adaptive_D_nofpr_f070,0.0003666929784428,0.002916650298183,0.0060517024613154,139950,1918,1918,poisson_logl,10.017931462043837,1621.1,
