seed,arm,infidelity,diamond,spam,accounted_revealed_shots,revealed_circuits,total_circuits,objective,flag,seconds,error
107,adaptive_D_nofpr_f005,-8.171409247498262e-06,0.0005053434792609,0.0024582689700932,959000,1918,1918,poisson_logl,2.9827415950727136,2308.8,
107,adaptive_D_nofpr_f010,-5.472050735255696e-06,0.0005777761384145,0.0026414258180369,959000,1918,1918,poisson_logl,3.0799076855817207,1208.5,
107,adaptive_D_nofpr_f020,5.675678630023828e-06,0.0005021619213033,0.0012147865059214,959000,1918,1918,poisson_logl,0.3039405456304673,1747.3,
107,adaptive_D_nofpr_f030,1.0111459326223038e-06,0.0006901306564286,0.0034267244797078,959000,1918,1918,poisson_logl,0.3966450955010736,1672.0,
107,adaptive_D_nofpr_f040,1.5239490174151492e-05,0.0006837236826994,0.0031247139813392,959000,1918,1918,poisson_logl,249.6030327006838,1649.7,
107,adaptive_D_nofpr_f050,9.359204227038507e-06,0.0005547332498534,0.0028498037918781,959000,1918,1918,poisson_logl,0.1982968373041271,1690.2,
107,adaptive_D_nofpr_f060,3.471347419736759e-06,0.0005520614256761,0.0012573588142063,959000,1918,1918,poisson_logl,88.80379478298367,1693.6,
107,adaptive_D_nofpr_f070,7.1239666124267575e-06,0.0007209612511287,0.0048515538527607,959000,1918,1918,poisson_logl,3.011037288612101,1840.0,
107,fixed_no_fpr,2.35267207364942e-05,0.0007613580220066,0.0011462292146532,959000,1918,1918,poisson_logl,2.0471047968598657,4507.9,
107,lm,1.746971044572221e-05,0.0008089546218137,0.0011472079242605,959000,1918,1918,chi2_ladder_then_mle,LM,118.1,
107,lm_mle,2.0268027984882145e-05,0.0008149425648695,0.0011544591485053,959000,1918,1918,pure_mle,LM_MLE,107.3,
