reference,gate,entanglement_infidelity,average_gate_infidelity,diamond_distance,eigenvalue_nonunitarity_excess,eigenvalue_diamondnorm,eigenvalue_nonunitary_diamondnorm
truth,[],2.0876622701893055e-05,1.3917748467928703e-05,0.0003066960751079246,2.085830610723538e-05,0.00020358514520097835,2.891466301149781e-05
truth,Gxpi2:0,2.0208428247570076e-05,1.3472285498380051e-05,0.0009702790537567923,0.0002225452929457694,0.00035425036619949696,0.0003398252781684763
truth,Gypi2:0,0.00011740538361981745,7.827025574654496e-05,0.0017340006161440241,-0.0002436439631819387,0.00034826974963211854,0.00033847353799576485
truth,Gzpi2:0,8.423923524059074e-05,5.615949016039382e-05,0.0013545641431552471,-9.242782171176023e-05,0.00034631332398375644,0.00011660845038705125
ideal,[],2.0876622701893055e-05,1.3917748467928703e-05,0.00030653574265415294,2.085830610723538e-05,0.00020358514520097835,2.891466301149781e-05
ideal,Gxpi2:0,0.004788928881200638,0.0031926192541337586,0.015616366671852813,0.004762230941837475,0.005806682722589591,0.005759340443606764
ideal,Gypi2:0,0.006228954261930264,0.004152636174620176,0.018921704224872216,0.006190356576632472,0.011995440284820136,0.007572602220611957
ideal,Gzpi2:0,0.004352293241290051,0.0029015288275267004,0.026074648885249258,0.004227074891791249,0.015217311291014914,0.004683899025939631
