stage,max_length,mean_gate_entanglement_infidelity_to_truth,mean_spam_vector_l2_error_to_truth,mean_gate_diamond_distance_to_truth
0,1,0.001990208118439779,0.005664947943044026,0.01619921336143851
1,2,0.002380959834562685,0.003974430901646478,0.010931100175901218
2,4,0.00036661089522602164,0.003588172037051583,0.005653447552042097
3,8,0.0007406438213443389,0.0016735590853064338,0.004156840084423072
4,16,0.00033289446838372094,0.0009349942634678188,0.0030601792953950852
5,32,0.00011417865611354494,0.0014532325316652705,0.001940409787263282
6,64,4.3087471455788284e-05,0.0017951141658911266,0.0010699274350157793
