reference,gate,entanglement_infidelity,average_gate_infidelity,diamond_distance,eigenvalue_nonunitarity_excess,eigenvalue_diamondnorm,eigenvalue_nonunitary_diamondnorm
truth,[],4.7625456944810907e-07,3.175030462987394e-07,0.00017942300096043218,4.6825392721605574e-07,0.00013417007813188282,5.724036318266457e-07
truth,Gxpi2:0,-2.2552675422726765e-05,-1.5035116948484509e-05,0.0006009589888479393,1.4427146090290055e-06,4.5213029779403094e-05,8.725163733597219e-06
truth,Gypi2:0,1.5764052922029315e-05,1.050936861468621e-05,0.0007915077182176263,3.464910782649544e-05,0.0002488344285761123,4.9453417513556364e-05
truth,Gzpi2:0,3.218324104459214e-05,2.145549402972809e-05,0.0009964869640347374,2.9231402303042664e-05,0.00016566873703882656,0.00016566873703882656
ideal,[],4.7625456955913137e-07,3.1750304637275423e-07,0.0001795239944139925,4.6825392721605574e-07,0.00013417007813188282,5.724036318266457e-07
ideal,Gxpi2:0,6.907259434230095e-05,4.604839622820064e-05,0.009927821062805889,4.699708839278616e-05,7.197142530907239e-05,6.091824255780032e-05
ideal,Gypi2:0,0.006507627338957267,0.004338418225971512,0.019436760734397793,0.006467556521474321,0.012356270581487184,0.007941079526280759
ideal,Gzpi2:0,0.0044632535665078965,0.002975502377671931,0.025318774967675053,0.00434616322042472,0.014818171641328717,0.004890848149440241
