reference,member_type,member,vector_l2_error,tracedist
truth,prep,rho0,0.0037399048666496354,0.002644508027240846
truth,povm,Mdefault,,0.000526035950947824
truth,povm_effect,Mdefault:0,0.0007651785701382026,
truth,povm_effect,Mdefault:1,0.0007677190202013125,
