reference,gate,entanglement_infidelity,average_gate_infidelity,diamond_distance,eigenvalue_nonunitarity_excess,eigenvalue_diamondnorm,eigenvalue_nonunitary_diamondnorm
truth,[],2.4267202978212055e-06,1.6178135318808036e-06,0.00020087638639025216,2.417166196200249e-06,0.0001466389463737745,2.5047958827906225e-06
truth,Gxpi2:0,-1.0400404361732285e-05,-6.933602907821523e-06,0.00038428643184355854,2.9663193138462773e-06,4.4890161995528474e-05,1.3522885523947759e-05
truth,Gypi2:0,2.5643963088239907e-05,1.709597539215994e-05,0.0011549532956756927,6.093287147496129e-05,0.0003468380114734396,7.254408123630318e-05
truth,Gzpi2:0,2.842586645812606e-05,1.8950577638750705e-05,0.0008381966178831251,6.51457881086781e-05,0.00014337449616913522,6.716627351957549e-05
ideal,[],2.426720297599161e-06,1.617813531732774e-06,0.00020080218591580825,2.417166196200249e-06,0.0001466389463737745,2.5047958827906225e-06
ideal,Gxpi2:0,7.161939657485128e-05,4.7746264383234184e-05,0.009963158764435001,4.852094141338803e-05,7.306623372932669e-05,5.208013632201913e-05
ideal,Gypi2:0,0.00653191072456516,0.004354607149710106,0.01947762462878997,0.0064899649878140675,0.012445484465340528,0.007965481882153319
ideal,Gzpi2:0,0.004502378924973072,0.0030015859499820476,0.025675821532528422,0.004381081783908336,0.015072723963870428,0.004787876748151149
