iteration,nf,previous_rho,trust_region_delta,adaptive_schedule,requested_budget,scheduled_budget,shots_added,active_circuits,revealed_union_circuits,accounted_revealed_shots,total_shot_budget,remaining_shot_budget,shot_budget_exhausted,physical_precomputed_shots
0,0,,0.1,lazy_delta_inverse_square,0,0,0,1918,1918,1250536,1786000,535464,False,1250536
1,1,43.04166896381834,0.2,lazy_delta_inverse_square,0,0,0,1918,1918,1250536,1786000,535464,False,1250536
2,2,-1.460508789893968,0.1,lazy_delta_inverse_square,0,0,0,1918,1918,1250536,1786000,535464,False,1250536
3,3,-0.5282450345609359,0.05,lazy_delta_inverse_square,0,0,0,1918,1918,1250536,1786000,535464,False,1250536
4,4,0.7573613483405067,0.1,lazy_delta_inverse_square,0,0,0,1918,1918,1250536,1786000,535464,False,1250536
5,5,-3.6449958568009984,0.05,lazy_delta_inverse_square,10000,10000,10000,1918,1918,1260536,1786000,525464,False,1260536
6,6,-0.4901489801802299,0.025,lazy_delta_inverse_square,0,0,0,1918,1918,1260536,1786000,525464,False,1260536
7,7,0.7109586998619299,0.05,lazy_delta_inverse_square,0,0,0,1918,1918,1260536,1786000,525464,False,1260536
8,8,-0.7540118540446263,0.025,lazy_delta_inverse_square,0,0,0,1918,1918,1260536,1786000,525464,False,1260536
9,9,0.7144043132295953,0.05,lazy_delta_inverse_square,0,0,0,1918,1918,1260536,1786000,525464,False,1260536
10,10,-0.17647823467619062,0.025,lazy_delta_inverse_square,10000,10000,10000,1918,1918,1270536,1786000,515464,False,1270536
11,11,0.4198718229701294,0.05,lazy_delta_inverse_square,0,0,0,1918,1918,1270536,1786000,515464,False,1270536
12,12,-1.864715855719134,0.025,lazy_delta_inverse_square,0,0,0,1918,1918,1270536,1786000,515464,False,1270536
13,13,0.5268856969246818,0.05,lazy_delta_inverse_square,0,0,0,1918,1918,1270536,1786000,515464,False,1270536
14,14,-3.9363526642131106,0.025,lazy_delta_inverse_square,0,0,0,1918,1918,1270536,1786000,515464,False,1270536
15,15,0.5480407871916609,0.05,lazy_delta_inverse_square,10000,10000,10000,1918,1918,1280536,1786000,505464,False,1280536
16,16,-1.3192732323360716,0.025,lazy_delta_inverse_square,0,0,0,1918,1918,1280536,1786000,505464,False,1280536
17,17,-1.2578836134766695,0.0125,lazy_delta_inverse_square,0,0,0,1918,1918,1280536,1786000,505464,False,1280536
18,18,0.7198423033204988,0.025,lazy_delta_inverse_square,0,0,0,1918,1918,1280536,1786000,505464,False,1280536
19,19,0.7741344723732017,0.0125,lazy_delta_inverse_square,0,0,0,1918,1918,1280536,1786000,505464,False,1280536
20,20,-3.385164019511421,0.00625,lazy_delta_inverse_square,10000,10000,10000,1918,1918,1290536,1786000,495464,False,1290536
21,21,0.33680539300712636,0.0125,lazy_delta_inverse_square,0,0,0,1918,1918,1290536,1786000,495464,False,1290536
22,22,-4.719752547562766,0.00625,lazy_delta_inverse_square,0,0,0,1918,1918,1290536,1786000,495464,False,1290536
23,23,-0.47720833788139494,0.003125,lazy_delta_inverse_square,0,0,0,1918,1918,1290536,1786000,495464,False,1290536
24,24,0.7494443971000668,0.00625,lazy_delta_inverse_square,0,0,0,1918,1918,1290536,1786000,495464,False,1290536
25,25,-4.723358711038271,0.003125,lazy_delta_inverse_square,10000,10000,10000,1918,1918,1300536,1786000,485464,False,1300536
26,26,0.27075058397306445,0.00625,lazy_delta_inverse_square,0,0,0,1918,1918,1300536,1786000,485464,False,1300536
27,27,-8.424281908116967,0.003125,lazy_delta_inverse_square,0,0,0,1918,1918,1300536,1786000,485464,False,1300536
28,28,0.020610907370302224,0.0015625,lazy_delta_inverse_square,0,0,0,1918,1918,1300536,1786000,485464,False,1300536
29,29,0.6880327501450938,0.003125,lazy_delta_inverse_square,0,0,0,1918,1918,1300536,1786000,485464,False,1300536
30,30,-5.469758637503312,0.0015625,lazy_delta_inverse_square,10000,10000,10000,1918,1918,1310536,1786000,475464,False,1310536
31,31,-0.23438316542916648,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,1310536,1786000,475464,False,1310536
32,32,0.6761334307530812,0.0015625,lazy_delta_inverse_square,0,0,0,1918,1918,1310536,1786000,475464,False,1310536
