iteration,nf,previous_rho,trust_region_delta,adaptive_schedule,requested_budget,scheduled_budget,shots_added,active_circuits,revealed_union_circuits,accounted_revealed_shots,total_shot_budget,remaining_shot_budget,shot_budget_exhausted,physical_precomputed_shots
45,45,-0.44752047695954617,0.00078125,lazy_delta_inverse_square,10000,10000,10000,1918,1918,172474,1666000,1493526,False,172474
46,46,0.8541036313326618,0.0015625,lazy_delta_inverse_square,0,0,0,1918,1918,172474,1666000,1493526,False,172474
47,47,-1.1307937520167772,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,172474,1666000,1493526,False,172474
48,48,0.3886844774898043,0.0015625,lazy_delta_inverse_square,0,0,0,1918,1918,172474,1666000,1493526,False,172474
49,49,-1.2296781531402503,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,172474,1666000,1493526,False,172474
50,50,-0.014815305753743624,0.000390625,lazy_delta_inverse_square,10000,10000,10000,1918,1918,182474,1666000,1483526,False,182474
51,51,0.9249131429531203,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,182474,1666000,1483526,False,182474
52,52,0.5304008013597793,0.0015625,lazy_delta_inverse_square,0,0,0,1918,1918,182474,1666000,1483526,False,182474
53,53,-2.4135439855124488,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,182474,1666000,1483526,False,182474
54,54,-0.2943246699426027,0.000390625,lazy_delta_inverse_square,0,0,0,1918,1918,182474,1666000,1483526,False,182474
55,55,0.5252786227116605,0.00078125,lazy_delta_inverse_square,10000,10000,10000,1918,1918,192474,1666000,1473526,False,192474
56,56,0.929623581745343,0.0015625,lazy_delta_inverse_square,0,0,0,1918,1918,192474,1666000,1473526,False,192474
57,57,-0.004014299185235337,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,192474,1666000,1473526,False,192474
58,58,0.6840081616844619,0.0015625,lazy_delta_inverse_square,0,0,0,1918,1918,192474,1666000,1473526,False,192474
59,59,-0.7323986555648447,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,192474,1666000,1473526,False,192474
60,60,0.45063111380195175,0.0015625,lazy_delta_inverse_square,10000,10000,10000,1918,1918,202474,1666000,1463526,False,202474
61,61,0.44839423890896096,0.003125,lazy_delta_inverse_square,0,0,0,1918,1918,202474,1666000,1463526,False,202474
62,62,-2.6724566914348453,0.0015625,lazy_delta_inverse_square,0,0,0,1918,1918,202474,1666000,1463526,False,202474
63,63,-0.2008568997934192,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,202474,1666000,1463526,False,202474
64,64,0.6284858704621176,0.0015625,lazy_delta_inverse_square,0,0,0,1918,1918,202474,1666000,1463526,False,202474
65,65,-0.7079840382041677,0.00078125,lazy_delta_inverse_square,10000,10000,10000,1918,1918,212474,1666000,1453526,False,212474
66,66,0.8983540547426886,0.0015625,lazy_delta_inverse_square,0,0,0,1918,1918,212474,1666000,1453526,False,212474
67,67,-0.762894393469371,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,212474,1666000,1453526,False,212474
68,68,0.6283072623391796,0.0015625,lazy_delta_inverse_square,0,0,0,1918,1918,212474,1666000,1453526,False,212474
69,69,-1.2662216305228444,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,212474,1666000,1453526,False,212474
