phase,nf,x_index,incumbent_index,active_objective,full_objective,incumbent_active_objective,incumbent_full_objective,active_residuals,active_circuits,new_residuals_revealed,new_circuits_revealed,union_residuals_revealed,union_circuits_revealed,cumulative_eval_residuals,cumulative_eval_circuits,cumulative_shots_revealed,cumulative_eval_shots,shots_per_circuit,fpr_enabled,fpr_use_union_mask,fpr_selected_residuals,fpr_selected_circuits,fpr_new_residuals,fpr_new_circuits,fpr_union_residuals,fpr_union_circuits,delta,ng,rho,rho_active,rho_full,rho_uses_full_objective,mdec,step_norm,accepted
initial,0,0,0,2191.7915266226264,2191.7915266226264,2191.7915266226264,2191.7915266226264,3836,1918,3836,1918,3836,1918,3836,1918,9590.0,9590.0,5.0,False,True,3836,1918,3836,1918,3836,1918,0.1,,,,,False,,,True
trial,1,1,1,1400.9748796359668,1400.9748796359668,1400.9748796359668,1400.9748796359668,3836,1918,0,0,3836,1918,7672,3836,9590.0,9590.0,5.0,False,True,3836,1918,0,0,3836,1918,0.1,6750.273608223123,21.280008304765165,21.280008304765165,21.280008304765165,False,-37.16242191548274,0.1,True
trial,2,2,1,2348.0492841900286,2348.0492841900286,1400.9748796359668,1400.9748796359668,3836,1918,0,0,3836,1918,11508,5754,9590.0,9590.0,5.0,False,True,3836,1918,0,0,3836,1918,0.2,3917.9307675794084,-2.2522676590545814,-2.2522676590545814,-2.2522676590545814,False,-420.4981591537876,0.2,False
trial,3,3,1,1728.913577348908,1728.913577348908,1400.9748796359668,1400.9748796359668,3836,1918,0,0,3836,1918,15344,7672,9590.0,9590.0,5.0,False,True,3836,1918,0,0,3836,1918,0.1,3917.9307675794084,-0.7828307520891692,-0.7828307520891692,-0.7828307520891692,False,-418.91391828662717,0.1,False
trial,4,4,4,1177.6649288157719,1177.6649288157719,1177.6649288157719,1177.6649288157719,3836,1918,0,0,3836,1918,19180,9590,9590.0,9590.0,5.0,False,True,3836,1918,0,0,3836,1918,0.05,3917.9307675794084,0.5440362487924248,0.5440362487924248,0.5440362487924248,False,-410.4688820200252,0.05,True
trial,5,5,4,1800.8657271729787,1800.8657271729787,1177.6649288157719,1177.6649288157719,3836,1918,0,0,3836,1918,23016,11508,9590.0,9590.0,5.0,False,True,3836,1918,0,0,3836,1918,0.1,7187.937332727505,-3.102140158232115,-3.102140158232115,-3.102140158232115,False,-200.89382380206962,0.1,False
trial,6,6,6,1921.278407384794,1921.278407384794,1921.278407384794,1921.278407384794,3836,1918,0,0,3836,1918,26852,13426,19590.0,19590.0,10.213764337851929,False,True,3836,1918,0,0,3836,1918,0.05,37167.45122469834,0.061104274455797046,0.061104274455797046,0.061104274455797046,False,-850.3039285441059,0.05,True
trial,7,7,6,2389.079835022875,2389.079835022875,1921.278407384794,1921.278407384794,3836,1918,0,0,3836,1918,30688,15344,19590.0,19590.0,10.213764337851929,False,True,3836,1918,0,0,3836,1918,0.1,23500.33541164386,-0.5097715394598015,-0.5097715394598015,-0.5097715394598015,False,-917.668781850404,0.1,False
trial,8,8,6,2138.6718390166025,2138.6718390166025,1921.278407384794,1921.278407384794,3836,1918,0,0,3836,1918,34524,17262,19590.0,19590.0,10.213764337851929,False,True,3836,1918,0,0,3836,1918,0.05,23500.33541164386,-0.23753910912339715,-0.23753910912339715,-0.23753910912339715,False,-915.1900604244355,0.05,False
trial,9,9,9,1555.1468842057839,1555.1468842057839,1555.1468842057839,1555.1468842057839,3836,1918,0,0,3836,1918,38360,19180,19590.0,19590.0,10.213764337851929,False,True,3836,1918,0,0,3836,1918,0.025,23500.33541164386,0.4572444154098669,0.4572444154098669,0.4572444154098669,False,-800.7348167408792,0.025,True
trial,10,10,9,2480.689759124065,2480.689759124065,1555.1468842057839,1555.1468842057839,3836,1918,0,0,3836,1918,42196,21098,19590.0,19590.0,10.213764337851929,False,True,3836,1918,0,0,3836,1918,0.05,34753.88694398552,-1.9077059236721974,-1.9077059236721974,-1.9077059236721974,False,-485.16014100154246,0.05,False
trial,11,11,11,1649.2314815985967,1649.2314815985967,1649.2314815985967,1649.2314815985967,3836,1918,0,0,3836,1918,46032,23016,29590.0,29590.0,15.427528675703858,False,True,3836,1918,0,0,3836,1918,0.025,70473.48431753647,0.4172443446339811,0.4172443446339811,0.4172443446339811,False,-820.6684875687255,0.025,True
trial,12,12,11,2572.8517538467886,2572.8517538467886,1649.2314815985967,1649.2314815985967,3836,1918,0,0,3836,1918,49868,24934,29590.0,29590.0,15.427528675703858,False,True,3836,1918,0,0,3836,1918,0.05,23809.20322565226,-1.570733653306621,-1.570733653306621,-1.570733653306621,False,-588.0183889253522,0.05,False
trial,13,13,13,1624.0592301101638,1624.0592301101638,1624.0592301101638,1624.0592301101638,3836,1918,0,0,3836,1918,53704,26852,29590.0,29590.0,15.427528675703858,False,True,3836,1918,0,0,3836,1918,0.025,23809.20322565226,0.04346394457402377,0.04346394457402377,0.04346394457402377,False,-579.1524845510029,0.025,True
trial,14,14,14,1068.6962123745284,1068.6962123745284,1068.6962123745284,1068.6962123745284,3836,1918,0,0,3836,1918,57540,28770,29590.0,29590.0,15.427528675703858,False,True,3836,1918,0,0,3836,1918,0.0125,18213.063633829828,1.0103206027620786,1.0103206027620786,1.0103206027620786,False,-549.6898867719303,0.0125,True
trial,15,15,14,1382.3022726928612,1382.3022726928612,1068.6962123745284,1068.6962123745284,3836,1918,0,0,3836,1918,61376,30688,29590.0,29590.0,15.427528675703858,False,True,3836,1918,0,0,3836,1918,0.025,7722.874962853594,-2.577848849299242,-2.577848849299242,-2.577848849299242,False,-121.65416929064048,0.025,False
