batch_size_circuits,batch_size_over_p,repeat,num_parameters,full_num_circuits,full_num_probability_entries,optimizer,max_nfev,success,status,message,nfev,njev,oracle_calls,elapsed_seconds,train_num_probability_entries,train_objective,train_rmse,train_max_abs_residual,full_objective,full_rmse,full_max_abs_residual,x_distance_to_true_l2_gauge_dependent
808,0.5,0,1616,8740,34960,trf,25,True,1,`gtol` termination condition is satisfied.,24,17,24,78.15403948900348,3232,1.506079887425417e-19,6.8263464911961236e-12,1.3930300662989836e-10,4.028517971596829,0.010734626561997328,0.36435193568555424,0.6553162179487569
808,0.5,1,1616,8740,34960,trf,25,False,0,The maximum number of function evaluations is exceeded.,25,13,25,78.28011560099549,3232,1.4625851558533856e-10,2.1272812128294785e-07,2.2193174150884898e-06,2.3424948905642733,0.008185658348020106,0.41105196193449856,0.6207542478205544
808,0.5,2,1616,8740,34960,trf,25,False,0,The maximum number of function evaluations is exceeded.,25,14,25,78.76626853099151,3232,2.4452777033861777e-15,8.698180544400546e-10,2.4009642836386735e-08,13.55972076015037,0.019694259725539936,0.5737338541420587,0.9428508143872458
808,0.5,3,1616,8740,34960,trf,25,True,1,`gtol` termination condition is satisfied.,20,13,20,60.816798378000385,3232,2.5413250215252e-27,8.867361832248771e-16,2.3814283878209608e-14,6.868960132082833,0.014017152099381591,0.5359753649956157,0.6823263281576789
808,0.5,4,1616,8740,34960,trf,25,True,1,`gtol` termination condition is satisfied.,25,16,25,75.80832248501247,3232,1.824318554263629e-18,2.3758261683572996e-11,3.7917846640311836e-10,10.56412485819794,0.017383252989651547,0.48096706103604003,0.7428226789168769
808,0.5,5,1616,8740,34960,trf,25,True,1,`gtol` termination condition is satisfied.,22,13,22,65.80663893399469,3232,3.5540128915283633e-26,3.3160710209323713e-15,7.09432512735475e-14,4.420435039585906,0.011244672066082618,0.32668565752621265,0.6487374958497618
808,0.5,6,1616,8740,34960,trf,25,False,0,The maximum number of function evaluations is exceeded.,25,12,25,74.28461153700482,3232,1.1385556747278074e-12,1.8769014077938703e-08,3.093036541682026e-07,6.024397501792543,0.013127169649365365,0.43324119190494265,0.6282997858052034
808,0.5,7,1616,8740,34960,trf,25,False,0,The maximum number of function evaluations is exceeded.,25,13,25,72.18238989300153,3232,2.3019878990721895e-13,8.439482988599322e-09,2.0840724553050638e-07,3.1181200051042883,0.009444102692203098,0.27380294283216977,0.6302318846149543
808,0.5,8,1616,8740,34960,trf,25,False,0,The maximum number of function evaluations is exceeded.,25,15,25,80.78296528301144,3232,3.659422293867122e-17,1.0640709548074448e-10,2.6593827140430903e-09,3.561249899796208,0.010092889373121102,0.5356722192874112,0.6235545382139426
808,0.5,9,1616,8740,34960,trf,25,True,1,`gtol` termination condition is satisfied.,22,14,22,68.11126007299754,3232,6.510432868884813e-27,1.419283835415519e-15,1.6681100944992977e-14,89.34139828952702,0.05055226985691839,1.887050076046966,0.9370017457384918
808,0.5,10,1616,8740,34960,trf,25,False,0,The maximum number of function evaluations is exceeded.,25,12,25,77.9626420870045,3232,1.030402292080995e-13,5.646349177757208e-09,1.5661885482964877e-07,5.043895314744191,0.012011502061435073,0.5683655101258508,0.6236781625785525
808,0.5,11,1616,8740,34960,trf,25,False,0,The maximum number of function evaluations is exceeded.,25,14,25,76.89974622399313,3232,4.092853583179073e-16,3.5585856918406324e-10,5.535271074830206e-09,3.0910549813189796,0.009403026347935585,0.24158039407477244,0.6175534461323485
808,0.5,12,1616,8740,34960,trf,25,True,1,`gtol` termination condition is satisfied.,19,14,19,72.62974064599257,3232,7.4489060502771275e-28,4.800766379321926e-16,7.93809462606987e-15,4.983428535082902,0.011939287366141074,0.4554435762250272,0.7798339329520658
808,0.5,13,1616,8740,34960,trf,25,False,0,The maximum number of function evaluations is exceeded.,25,14,25,73.02048458400532,3232,7.417045023901543e-11,1.5148854055831236e-07,2.092696917369713e-06,2.342428205640094,0.008185541834662198,0.23388541845762845,0.6195042092918518
808,0.5,14,1616,8740,34960,trf,25,False,0,The maximum number of function evaluations is exceeded.,25,11,25,71.77082730700204,3232,1.0357495675386823e-14,1.7901594039755125e-09,4.037291601033388e-08,3.626741305909864,0.010185270731382826,0.3526603624435402,0.6172692507163708
808,0.5,15,1616,8740,34960,trf,25,True,1,`gtol` termination condition is satisfied.,21,14,21,64.97512438199192,3232,5.892688941731392e-18,4.2699332133472695e-11,9.251210353333761e-10,8.122848731934466,0.015242930548011078,0.743093071242832,0.661948340831842
808,0.5,16,1616,8740,34960,trf,25,True,1,`gtol` termination condition is satisfied.,25,16,25,76.2622587000078,3232,1.0951905501566544e-18,1.8408108601943465e-11,5.571377664770338e-10,15.233319879948006,0.02087428308964219,1.2678085638711072,0.6213753592116641
808,0.5,17,1616,8740,34960,trf,25,True,1,`gtol` termination condition is satisfied.,20,13,20,64.2066394489957,3232,2.9342166348009026e-18,3.013078256197985e-11,4.5582643215524854e-10,4.083022815285014,0.010807000992879462,0.499838176485523,0.6185816137502881
808,0.5,18,1616,8740,34960,trf,25,True,1,`gtol` termination condition is satisfied.,24,16,24,77.0299821869994,3232,1.7905008201928346e-19,7.443061133741941e-12,1.0036410591496292e-10,4.759807807355475,0.011668337881037258,0.3791756149532088,0.6468104412941877
808,0.5,19,1616,8740,34960,trf,25,False,0,The maximum number of function evaluations is exceeded.,25,13,25,74.30133628498879,3232,2.7440482403125597e-15,9.214254320504622e-10,2.52100275308087e-08,3.5733973492718185,0.010110088179057803,0.3456517953296083,0.6240124768311769
808,0.5,20,1616,8740,34960,trf,25,False,0,The maximum number of function evaluations is exceeded.,25,17,25,73.06682982700295,3232,2.3257477478984036e-11,8.482925023380914e-08,6.368592472827395e-07,8.331688805528135,0.01543763641258265,0.6499856355612245,0.6231247376868072
808,0.5,21,1616,8740,34960,trf,25,False,0,The maximum number of function evaluations is exceeded.,25,13,25,78.83303015799902,3232,1.2600420249677521e-14,1.9744986399670946e-09,4.7949485132425806e-08,9.002892985908307,0.016047424162506013,0.9721402417741715,0.6309132665652872
808,0.5,22,1616,8740,34960,trf,25,False,0,The maximum number of function evaluations is exceeded.,25,13,25,72.91779077899992,3232,1.088458267529243e-09,5.80323577034628e-07,9.218769537744365e-06,2.0796078862086347,0.0077126747264599305,0.2609350930365306,0.618854252959234
808,0.5,23,1616,8740,34960,trf,25,False,0,The maximum number of function evaluations is exceeded.,25,14,25,74.23005959000147,3232,1.5030994485854803e-14,2.156543295869579e-09,5.4777180458209784e-08,3.789140783285338,0.01041081331341767,0.3348086661782104,0.6216157083480363
808,0.5,24,1616,8740,34960,trf,25,False,0,The maximum number of function evaluations is exceeded.,25,15,25,71.7098197239975,3232,2.012405806002273e-13,7.890819420459953e-09,1.6194143623998736e-07,69.44001652972986,0.04456759468158064,1.879926352658794,0.8167532717182119
808,0.5,25,1616,8740,34960,trf,25,False,0,The maximum number of function evaluations is exceeded.,25,13,25,75.4255155659921,3232,2.55797736409354e-11,8.896366631134727e-08,1.3456474180773004e-06,3.690739427189015,0.010274743293531452,0.33414893775358867,0.6566658992274327
808,0.5,26,1616,8740,34960,trf,25,False,0,The maximum number of function evaluations is exceeded.,25,13,25,73.7131034139893,3232,6.813115469111076e-12,4.5913161512754145e-08,1.2819382418094438e-06,6.9944581231340575,0.014144621325670983,0.5143467165878998,0.7252753366037353
808,0.5,27,1616,8740,34960,trf,25,False,0,The maximum number of function evaluations is exceeded.,25,12,25,74.9365469589975,3232,2.2106919052844612e-13,8.270436556302286e-09,1.0832614361078186e-07,2.0564205484129703,0.007669556575626296,0.3427200917685642,0.6169773107675073
808,0.5,28,1616,8740,34960,trf,25,False,0,The maximum number of function evaluations is exceeded.,25,12,25,71.22517294400313,3232,1.4738159784245814e-13,6.752832139680443e-09,7.524622140306358e-08,2.6947606229801515,0.008779593015495586,0.2711425993593721,0.6228006074659814
808,0.5,29,1616,8740,34960,trf,25,False,0,The maximum number of function evaluations is exceeded.,25,13,25,74.95396388199879,3232,3.4923248045205815e-15,1.0394931654429745e-09,2.3160430850932556e-08,30.680547843900214,0.029624146254390075,1.442642737905838,0.623378346524277
808,0.5,30,1616,8740,34960,trf,25,False,0,The maximum number of function evaluations is exceeded.,25,13,25,75.13620475800417,3232,1.8109030200450974e-15,7.485346700331764e-10,1.7248356909416174e-08,4.7591750832985,0.011667562315746744,0.47478356379159303,0.6279109726249144
808,0.5,31,1616,8740,34960,trf,25,False,0,The maximum number of function evaluations is exceeded.,25,14,25,73.89822868999909,3232,4.4188053474157025e-10,3.69757302134686e-07,8.560472414265163e-06,43.53185813854742,0.035287256200890474,1.349227493505706,0.8136956881812464
