reference,gate,entanglement_infidelity,average_gate_infidelity,diamond_distance,eigenvalue_nonunitarity_excess,eigenvalue_diamondnorm,eigenvalue_nonunitary_diamondnorm
truth,[],3.5643560913678485e-05,2.3762373942452324e-05,0.0003196144977228024,3.562564994882833e-05,0.00020457546583985852,4.016580596638564e-05
truth,Gxpi2:0,3.8594573099515195e-05,2.5729715399676795e-05,0.0020293017680774153,-1.8529014367996144e-05,0.00026437438189696647,0.0001568584047122179
truth,Gypi2:0,6.599641160953684e-05,4.3997607739691226e-05,0.0021607188596589003,-0.00015397566430075393,0.0002185967575965739,0.0001706816486933549
truth,Gzpi2:0,9.889840512689041e-05,6.593227008459361e-05,0.001812468459563384,-0.0001356973769419123,0.00027052768344605865,0.00025886480170408954
ideal,[],3.564356091378951e-05,2.3762373942526338e-05,0.00031975779312465216,3.562564994882833e-05,0.00020457546583985852,4.016580596638564e-05
ideal,Gxpi2:0,0.004546464094721037,0.003030976063147358,0.01474295281329481,0.0045232415023532535,0.005386617313206175,0.0053137642412546815
ideal,Gypi2:0,0.006316615596576591,0.004211077064384394,0.018887874837660672,0.006276743001191021,0.012143470219274893,0.007740394109914367
ideal,Gzpi2:0,0.004302674310817656,0.002868449540545104,0.025632307706098437,0.004183653535265064,0.014941962056965293,0.004837943703226377
