stage,max_length,mean_gate_entanglement_infidelity_to_truth,mean_spam_vector_l2_error_to_truth,mean_gate_diamond_distance_to_truth
0,1,0.00249500751158635,0.02028091718070994,0.05370063316430688
1,2,0.0010087848877291528,0.0034291726648426704,0.023440541583047793
2,4,0.0009326676076072959,0.006528157702539366,0.018259510738374604
3,8,0.00030059131089824054,0.005058167505400438,0.011027894379530386
4,16,0.00016552573832889772,0.004568700697848138,0.00705045989925869
5,32,0.00012912672141482395,0.005006694606782286,0.0033114113128607982
6,64,8.645758668823778e-06,0.0060047103563665855,0.002182004452845322
