reference,member_type,member,vector_l2_error,tracedist
truth,prep,rho0,0.002038534798502189,0.0014414617713348929
truth,povm,Mdefault,,0.00557593524659372
truth,povm_effect,Mdefault:0,0.00789253683920573,
truth,povm_effect,Mdefault:1,0.007893405920506353,
