reference,gate,entanglement_infidelity,average_gate_infidelity,diamond_distance,eigenvalue_nonunitarity_excess,eigenvalue_diamondnorm,eigenvalue_nonunitary_diamondnorm
truth,[],1.6104845174114146e-06,1.073656344940943e-06,0.00013317009674193765,1.6061880478979162e-06,9.833458176174926e-05,1.6230575864972785e-06
truth,Gxpi2:0,7.476154496366405e-06,4.984102997577604e-06,0.0005241406843849187,-3.5812550479963345e-05,0.00016144595433110052,5.201250779524047e-05
truth,Gypi2:0,1.742992736364357e-05,1.161995157576238e-05,0.0009916162502301355,5.139289383393475e-05,9.146284686501228e-05,6.980377942167326e-05
truth,Gzpi2:0,1.4412724513857e-05,9.608483009238e-06,0.0008705703987312944,4.601923005140285e-05,9.995706302698065e-05,8.855102714039331e-05
ideal,[],1.6104845174114146e-06,1.073656344940943e-06,0.00013323151284764137,1.6061880478979162e-06,9.833458176174926e-05,1.6230575864972785e-06
ideal,Gxpi2:0,0.004534094651639453,0.0030227297677596354,0.015437610210997554,0.004506654568890683,0.005389489498592798,0.005367502657643047
ideal,Gypi2:0,0.006521750054794939,0.0043478333698632925,0.018957735381277013,0.0064850006790987125,0.012148035522698213,0.007980879538029395
ideal,Gzpi2:0,0.004485096238693309,0.0029900641591288726,0.025904887805399544,0.004364378799479346,0.014911926543480423,0.004685470439883599
