seed,method,mean_gate_entanglement_infidelity_to_truth,mean_gate_diamond_distance_to_truth,mean_spam_vector_l2_error_to_truth,accounted_revealed_shots,max_shots_per_circuit,objective,flag
101,fixed_FPR,0.0002275589512732712,0.002036874421541463,0.00223400703697671,819000,1000,,15.73978315112253
101,no_FPR,1.6500157762000534e-05,0.0008305731917245112,0.0006179133567035867,818986,427,,0.46844354339275646
101,adaptive_D_nofpr,2.3671714495493434e-05,0.0007895653226885672,0.0038372522448541294,819000,15954,,4.492805150318365
101,LM,3.215363549999295e-05,0.0009208379619280113,0.0006415701082566482,818986,427,chi2_ladder_then_mle,LM
101,LM_MLE,1.702973508796446e-05,0.000833049792817722,0.0006186014693423327,818986,427,pure_mle,LM_MLE
101,LM_FPR,0.00018616340801413944,0.0017207936233449368,0.002539045140522424,819026,1853,pure_mle,LM_FPR
102,fixed_FPR,3.460707667821139e-05,0.0012458617926808687,0.0029057455652275223,963000,1000,,18.19138484871915
102,no_FPR,0.0001445166494590533,0.0013036328019277196,0.0020741301927457304,962836,502,,0.3018801835235411
102,adaptive_D_nofpr,2.1791827432421362e-05,0.0005592274697722355,0.004113535167221564,963000,47668,,9.891653529973322
102,LM,8.311847146161289e-05,0.0011040779169953154,0.0020946757083006805,962836,502,chi2_ladder_then_mle,LM
102,LM_MLE,0.00010074586578018296,0.0011708155073792375,0.002092984165482481,962836,502,pure_mle,LM_MLE
102,LM_FPR,0.0001184009201606051,0.0015904789055185575,0.0013310895487986072,963118,2179,pure_mle,LM_FPR
103,fixed_FPR,2.5622679122094816e-05,0.0009268329887002647,0.004122414863536559,836000,1000,,2.645354491840549
103,no_FPR,9.184650536231409e-05,0.0012822525835685552,0.0024160912743797108,834330,435,,2.7471909201471307
103,adaptive_D_nofpr,2.2496796472204483e-05,0.0009921282506083588,0.0016732475067879145,836000,16347,,0.6369889350282413
103,LM,6.850143147590915e-05,0.0011532459916549485,0.0011584396830306267,836248,436,chi2_ladder_then_mle,LM
103,LM_MLE,6.844318968665664e-05,0.0011531802302394143,0.0011572268882515972,836248,436,pure_mle,LM_MLE
103,LM_FPR,4.4356849940807574e-05,0.0011384030806028352,0.0012681659455271396,835822,1891,pure_mle,LM_FPR
