reference,gate,entanglement_infidelity,average_gate_infidelity,diamond_distance,eigenvalue_nonunitarity_excess,eigenvalue_diamondnorm,eigenvalue_nonunitary_diamondnorm
truth,[],3.3594126164215865e-06,2.2396084109477243e-06,0.00012175496122628311,3.3560381219044366e-06,8.719146864224351e-05,3.782728307671901e-06
truth,Gxpi2:0,-3.2876797223524434e-05,-2.1917864815682957e-05,0.0004644840904585743,5.536506899772586e-06,5.5289841057038405e-05,9.585667951061971e-06
truth,Gypi2:0,1.1267336048392806e-05,7.511557365595205e-06,0.0006156155087731946,1.2583957270967394e-05,9.74398064104305e-05,1.3096892902186852e-05
truth,Gzpi2:0,1.083413494029628e-05,7.222756626864187e-06,0.0005536223501953595,6.41787864189558e-05,0.00014925292219777897,0.00014925292219777897
ideal,[],3.359412616310564e-06,2.2396084108737093e-06,0.00012181334298877475,3.3560381219044366e-06,8.719146864224351e-05,3.782728307671901e-06
ideal,Gxpi2:0,7.438679138438431e-05,4.959119425625621e-05,0.010372369698626833,5.1090678951731805e-05,7.570198278475177e-05,5.790331620764144e-05
ideal,Gypi2:0,0.006480112191710519,0.004320074794473679,0.018962299339754574,0.006442684817370564,0.012082672632378173,0.007924172651509909
ideal,Gzpi2:0,0.00450025129006093,0.003000167526707287,0.02579663957734978,0.00438225955075347,0.015026730186303267,0.00487443233459911
