phase,nf,x_index,incumbent_index,active_objective,full_objective,incumbent_active_objective,incumbent_full_objective,active_residuals,active_circuits,new_residuals_revealed,new_circuits_revealed,union_residuals_revealed,union_circuits_revealed,cumulative_eval_residuals,cumulative_eval_circuits,cumulative_shots_revealed,cumulative_eval_shots,shots_per_circuit,fpr_enabled,fpr_use_union_mask,fpr_selected_residuals,fpr_selected_circuits,fpr_new_residuals,fpr_new_circuits,fpr_union_residuals,fpr_union_circuits,delta,ng,rho,rho_active,rho_full,rho_uses_full_objective,mdec,step_norm,accepted
trial,19,19,19,22541.654163794134,45782.82970547045,22541.654163794134,45782.82970547045,1620,810,0,0,1620,810,23902,11951,1620000.0,23902000.0,2000.0,True,True,690,345,86,43,1620,810,0.025,827144.5898248468,0.6285040530779238,0.6285040530779238,1.3322976584601633,False,-21265.11824229412,0.025,True
trial,20,20,20,12867.989158943947,24610.445149398725,12867.989158943947,24610.445149398725,1664,832,44,22,1664,832,25566,12783,1664000.0,25566000.0,2000.0,True,True,684,342,44,22,1664,832,0.05,564128.6258291978,0.5978689196211353,0.5978689196211353,1.2545760301232403,False,-16876.12711203474,0.05,True
trial,21,21,20,24550.27506583317,49598.03480198051,13179.372332570338,24610.445149398725,1726,863,62,31,1726,863,27292,13646,1726000.0,27292000.0,2000.0,True,True,684,342,62,31,1726,863,0.1,1034865.1051686242,-0.9468866695490983,-0.9468866695490983,-2.0807860291496327,False,-12008.726174883832,0.1,False
trial,22,22,22,10597.267828996475,20111.62372055813,10597.267828996475,20111.62372055813,1726,863,0,0,1726,863,29018,14509,1726000.0,29018000.0,2000.0,True,True,684,342,62,31,1726,863,0.05,1034865.1051686242,0.21523320628417797,0.21523320628417797,0.3750025451290296,False,-11996.775721329186,0.05,True
trial,23,23,22,15290.39119012503,28620.868697236292,10622.97168212997,20111.62372055813,1744,872,18,9,1744,872,30762,15381,1744000.0,30762000.0,2000.0,True,True,684,342,18,9,1744,872,0.1,574932.048398186,-0.4885089789948759,-0.4885089789948759,-0.8906083047503782,False,-9554.419076591872,0.1,False
trial,24,24,24,5265.72826991836,9349.422806516288,5265.72826991836,9349.422806516288,1744,872,0,0,1744,872,32506,16253,1744000.0,32506000.0,2000.0,True,True,684,342,18,9,1744,872,0.05,574932.048398186,0.5612784839721088,0.5612784839721088,1.127555973930058,False,-9544.715440183922,0.05,True
trial,25,25,25,1168.2444317263091,2272.7420781861083,1168.2444317263091,2272.7420781861083,1790,895,46,23,1790,895,34296,17148,1790000.0,34296000.0,2000.0,True,True,690,345,46,23,1790,895,0.1,624569.7495647434,0.897313716869087,0.897313716869087,1.545529825268752,False,-4578.805670799408,0.026755706096671494,True
trial,26,26,26,790.5814284336856,1624.3860021209596,790.5814284336856,1624.3860021209596,1790,895,0,0,1790,895,36086,18043,1790000.0,36086000.0,2000.0,True,True,688,344,0,0,1790,895,0.05,347941.6739625719,0.49993683266805394,0.49993683266805394,0.8582706812240967,False,-755.4214424992822,0.024890956785186536,True
trial,27,27,26,805.932322601624,1634.1424628293953,794.1473099587436,1624.3860021209596,1800,900,10,5,1800,900,37886,18943,1800000.0,37886000.0,2000.0,True,True,688,344,10,5,1800,900,0.025,68074.3025700347,-0.030756426791394707,-0.030756426791394707,-0.025462329028845126,False,-383.1723601318273,0.02422347372441189,False
trial,28,28,28,476.44138309296864,1068.6035356109167,476.44138309296864,1068.6035356109167,1800,900,0,0,1800,900,39686,19843,1800000.0,39686000.0,2000.0,True,True,688,344,10,5,1800,900,0.0125,68074.3025700347,0.8293937184807488,0.8293937184807488,1.4509093082166993,False,-383.0580335811275,0.011971376437466527,True
trial,29,29,28,695.6730618878946,1438.1073354234316,476.44138309296864,1068.6035356109167,1800,900,0,0,1800,900,41486,20743,1800000.0,41486000.0,2000.0,True,True,688,344,0,0,1800,900,0.025,18079.288797747995,-3.123519138546215,-3.123519138546215,-5.264532009352345,False,-70.18739731396792,0.02193722008165785,False
trial,30,30,28,580.6920549011496,1250.2044429082075,476.44138309296864,1068.6035356109167,1800,900,0,0,1800,900,43286,21643,1800000.0,43286000.0,2000.0,True,True,688,344,0,0,1800,900,0.0125,18079.288797747995,-1.4866097597805246,-1.4866097597805246,-2.5896205414377502,False,-70.12645458722942,0.0125,False
trial,31,31,31,442.6452119891078,1015.2908788362919,442.6452119891078,1015.2908788362919,1800,900,0,0,1800,900,45086,22543,1800000.0,45086000.0,2000.0,True,True,688,344,0,0,1800,900,0.00625,18079.288797747995,0.4890090871527087,0.4890090871527087,0.7714002140339109,False,-69.11154003423849,0.00625,True
trial,32,32,31,716.7718017535614,1471.2967533898786,442.6452119891078,1015.2908788362919,1800,900,0,0,1800,900,46886,23443,1800000.0,46886000.0,2000.0,True,True,688,344,0,0,1800,900,0.0125,12380.806609938229,-7.484007778680227,-7.484007778680227,-12.449545719790878,False,-36.628314383285506,0.012253356592214807,False
trial,33,33,31,449.9852520704763,1027.1584922667676,442.6452119891078,1015.2908788362919,1800,900,0,0,1800,900,48686,24343,1800000.0,48686000.0,2000.0,True,True,688,344,0,0,1800,900,0.00625,12380.806609938229,-0.20147753669089877,-0.20147753669089877,-0.3257553765191796,False,-36.43105927302151,0.00625,False
trial,34,34,34,410.79385656568365,968.723261645364,410.79385656568365,968.723261645364,1800,900,0,0,1800,900,50486,25243,1800000.0,50486000.0,2000.0,True,True,688,344,0,0,1800,900,0.003125,12380.806609938229,0.897257951353049,0.897257951353049,1.3118174798111346,False,-35.49854907988596,0.003125,True
trial,35,35,34,443.75549768845826,1017.1976838816393,410.79385656568365,968.723261645364,1800,900,0,0,1800,900,52286,26143,1800000.0,52286000.0,2000.0,True,True,688,344,0,0,1800,900,0.00625,4484.520391813631,-6.437851143555989,-6.437851143555989,-9.467705611641925,False,-5.119975654573466,0.00625,False
trial,36,36,34,413.62291956174255,971.9506725633548,410.79385656568365,968.723261645364,1800,900,0,0,1800,900,54086,27043,1800000.0,54086000.0,2000.0,True,True,688,344,0,0,1800,900,0.003125,4484.520391813631,-0.5812899384220827,-0.5812899384220827,-0.663138818893444,False,-4.866870745670249,0.003125,False
trial,37,37,37,408.28586841266696,965.4529216738883,408.28586841266696,965.4529216738883,1800,900,0,0,1800,900,55886,27943,1800000.0,55886000.0,2000.0,True,True,688,344,0,0,1800,900,0.0015625,4484.520391813631,0.6247721028370875,0.6247721028370875,0.8146837450222312,False,-4.014244780821572,0.0015625,True
trial,38,38,37,414.91377889125863,974.114906587114,408.28586841266696,965.4529216738883,1800,900,0,0,1800,900,57686,28843,1800000.0,57686000.0,2000.0,True,True,688,344,0,0,1800,900,0.003125,1976.769352163713,-3.4258246993715455,-3.4258246993715455,-4.477194125835181,False,-1.9346904935934222,0.003125,False
trial,39,39,37,408.4148956167657,965.6004663598001,408.28586841266696,965.4529216738883,1800,900,0,0,1800,900,59486,29743,1800000.0,59486000.0,2000.0,True,True,688,344,0,0,1800,900,0.0015625,1976.769352163713,-0.08176661804419579,-0.08176661804419579,-0.09350144461133844,False,-1.5779936505262673,0.0015625,False
trial,40,40,40,407.65302155263504,964.6830007622967,407.65302155263504,964.6830007622967,1800,900,0,0,1800,900,61286,30643,1800000.0,61286000.0,2000.0,True,True,688,344,0,0,1800,900,0.00078125,1976.769352163713,0.5307289969704491,0.5307289969704491,0.6456844127108109,False,-1.1924105591448497,0.00078125,True
trial,41,41,40,414.06280688489846,967.7311303132622,411.20949395510587,964.6830007622967,1812,906,12,6,1812,906,63098,31549,1812000.0,63098000.0,2000.0,True,True,688,344,12,6,1812,906,0.0015625,1621.8908229384333,-2.438355118180641,-2.438355118180641,-2.6048395231624553,False,-1.1701794002514163,0.0015625,False
trial,42,42,40,411.4318798902487,964.8349909296026,411.20949395510587,964.6830007622967,1812,906,0,0,1812,906,64910,32455,1812000.0,64910000.0,2000.0,True,True,688,344,12,6,1812,906,0.00078125,1621.8908229384333,-0.3064569423879129,-0.3064569423879129,-0.20944868620246263,False,-0.725667799887296,0.00078125,False
trial,43,43,43,411.0075941284498,964.4306772188079,411.0075941284498,964.4306772188079,1812,906,0,0,1812,906,66722,33361,1812000.0,66722000.0,2000.0,True,True,688,344,12,6,1812,906,0.000390625,1621.8908229384333,0.45289797673517934,0.45289797673517934,0.5660075306721888,False,-0.4457953822437368,0.000390625,True
trial,44,44,43,411.26562438134374,964.6568659462548,411.0075941284498,964.4306772188079,1812,906,0,0,1812,906,68534,34267,1812000.0,68534000.0,2000.0,True,True,688,344,0,0,1812,906,0.00078125,381.4200639252746,-0.712587138004964,-0.712587138004964,-0.6246522496206518,False,-0.3621034384880352,0.00078125,False
