sequence_index,iteration,nf,incumbent_index,incumbent_full_objective,mean_gate_entanglement_infidelity_to_truth,mean_gate_average_infidelity_to_truth,mean_spam_vector_l2_error_to_truth,mean_spam_tracedist_to_truth,mean_gate_eigenvalue_nonunitarity_excess_to_truth,mean_gate_eigenvalue_diamondnorm_to_truth,mean_gate_eigenvalue_nonunitary_diamondnorm_to_truth,mean_gate_diamond_distance_to_truth
0,0,0,0,257491.75398847624,0.0017882621897374607,0.001192174793158307,0.007165902701660543,0.005062523522911718,-0.002719190553661918,0.0067837813321190345,0.0031726617482777386,0.013707118158205382
1,1,1,1,191185.5705187252,0.038055182447878866,0.02537012163191925,0.04030526113705901,0.024549266662459185,0.0519703366804799,0.059912108053885894,0.05954802843535169,0.11109653196478304
2,2,2,1,191185.5705187252,0.038055182447878866,0.02537012163191925,0.04030526113705901,0.024549266662459185,0.0519703366804799,0.059912108053885894,0.05954802843535169,0.11109653196478304
3,3,3,3,102427.170518834,0.013175465844834422,0.008783643896556281,0.08102811362067237,0.05504017388748263,0.010540021582263873,0.03312621453861224,0.019660324769862382,0.06612418179081901
4,4,4,3,102427.170518834,0.013175465844834422,0.008783643896556281,0.08102811362067237,0.05504017388748263,0.010540021582263873,0.03312621453861224,0.019660324769862382,0.06612418179081901
5,5,5,3,102427.170518834,0.013175465844834422,0.008783643896556281,0.08102811362067237,0.05504017388748263,0.010540021582263873,0.03312621453861224,0.019660324769862382,0.06612418179081901
6,6,6,6,100713.73122255129,0.012174922995450643,0.00811661533030043,0.01961870867539712,0.01353668358368262,0.019003920723940998,0.0254037793798461,0.023117374327445726,0.04989548105227157
7,7,7,7,40483.75651503532,0.0033994660102149854,0.002266310673476657,0.018769381752880166,0.011593775707984762,0.005443461733735978,0.012142388859714665,0.0072991194958393,0.030409318616532847
8,8,8,7,40483.75651503532,0.0033994660102149854,0.002266310673476657,0.018769381752880166,0.011593775707984762,0.005443461733735978,0.012142388859714665,0.0072991194958393,0.030409318616532847
9,9,9,9,21814.822279577158,0.0018849332993273737,0.0012566221995515825,0.008308773592879477,0.0066629363839926,0.0037727793859286055,0.006854298727796807,0.004881179484703881,0.01616512557111866
10,10,10,9,21814.822279577158,0.0018849332993273737,0.0012566221995515825,0.008308773592879477,0.0066629363839926,0.0037727793859286055,0.006854298727796807,0.004881179484703881,0.01616512557111866
11,11,11,11,7643.890334794633,0.001024559719453505,0.0006830398129690033,0.004762353279732849,0.0038115846144262597,0.0021117437464645977,0.0033933788830202505,0.002745450522587567,0.008231785537324031
12,12,12,11,7643.890334794633,0.001024559719453505,0.0006830398129690033,0.004762353279732849,0.0038115846144262597,0.0021117437464645977,0.0033933788830202505,0.002745450522587567,0.008231785537324031
13,13,13,11,7643.890334794633,0.001024559719453505,0.0006830398129690033,0.004762353279732849,0.0038115846144262597,0.0021117437464645977,0.0033933788830202505,0.002745450522587567,0.008231785537324031
14,14,14,14,2323.6660064641924,0.0003427748914086315,0.00022851659427242102,0.0014833055488910115,0.0010067606306932114,0.0006222314279822894,0.0011412872359632396,0.000780593257648371,0.0029588593637213103
15,15,15,14,2323.6660064641924,0.0003427748914086315,0.00022851659427242102,0.0014833055488910115,0.0010067606306932114,0.0006222314279822894,0.0011412872359632396,0.000780593257648371,0.0029588593637213103
16,16,16,16,2054.635279680569,0.00025926708160559087,0.0001728447210703939,0.0008962006797401653,0.0007448962732763042,0.0006297266470998777,0.0008391638158538931,0.0008293229558540907,0.0020619323289727113
17,17,17,16,2054.635279680569,0.00025926708160559087,0.0001728447210703939,0.0008962006797401653,0.0007448962732763042,0.0006297266470998777,0.0008391638158538931,0.0008293229558540907,0.0020619323289727113
18,18,18,18,1375.6331697007922,0.00012858892238928887,8.572594825952592e-05,0.0010230604647703354,0.0007824314789105561,0.0003827417872554126,0.00047456501901475834,0.00045945575833615526,0.0012612136539717283
