reference,gate,entanglement_infidelity,average_gate_infidelity,diamond_distance
truth,[],2.8709104660462614e-05,1.9139403106975077e-05,0.0008499672392617462
truth,Gxpi2:0,0.0004599658459936151,0.00030664389732907676,0.0021568235162560487
truth,Gypi2:0,0.00014458817224216602,9.639211482811068e-05,0.002615925898789578
truth,Gzpi2:0,4.7657774284282084e-05,3.177184952285472e-05,0.001434354103454531
