reference,gate,entanglement_infidelity,average_gate_infidelity,diamond_distance,eigenvalue_nonunitarity_excess,eigenvalue_diamondnorm,eigenvalue_nonunitary_diamondnorm
truth,[],1.1578379468746292e-05,7.71891964583086e-06,0.00011808891064576397,1.1575682881487248e-05,7.824596239423538e-05,1.7081256073747664e-05
truth,Gxpi2:0,-3.410549068649793e-05,-2.273699379099862e-05,0.0006019826811487018,4.0443748400287305e-06,0.00011861000423377084,1.7507577577929867e-05
truth,Gypi2:0,7.555243857981786e-06,5.036829238654524e-06,0.0006598290807998342,-4.37253593157938e-05,0.0001511830391318602,9.934318661064534e-05
truth,Gzpi2:0,2.0203599531920524e-05,1.3469066354613682e-05,0.0008707147693129816,9.863528665790544e-05,0.00020474914630579672,0.00011363804836903024
ideal,[],1.157837946863527e-05,7.718919645756847e-06,0.00011807603297656848,1.1575682881487248e-05,7.824596239423538e-05,1.7081256073747664e-05
ideal,Gxpi2:0,7.311222932004924e-05,4.874148621336616e-05,0.010032158023639926,4.9598955126434197e-05,0.0001352710696849431,5.170501675569317e-05
ideal,Gypi2:0,0.006426647580055955,0.004284431720037303,0.019113991868255926,0.006387606449357125,0.01217128535772498,0.007811732571996993
ideal,Gzpi2:0,0.00453732224954817,0.0030248814996987803,0.025830959676484005,0.00441537357806393,0.015127275138772862,0.00479575616325853
