reference,gate,entanglement_infidelity,average_gate_infidelity,diamond_distance
truth,[],1.0633989736552607e-05,7.089326491035071e-06,0.00017014850794073316
truth,Gxpi2:0,6.149459547899472e-05,4.0996396985996476e-05,0.0009585104594310556
truth,Gypi2:0,5.065748589982988e-05,3.3771657266553255e-05,0.001481189245781514
truth,Gzpi2:0,2.9580666461859195e-05,1.972044430790613e-05,0.0010124867251343162
ideal,[],1.063398973666363e-05,7.0893264911090865e-06,0.00017016488530945185
ideal,Gxpi2:0,0.004552812903681369,0.003035208602454246,0.015417466521692106
ideal,Gypi2:0,0.006643843429779084,0.004429228953186056,0.018895937133136254
ideal,Gzpi2:0,0.004530313218299886,0.003020208812199924,0.026148164147304833
