iteration,nf,previous_rho,trust_region_delta,adaptive_schedule,requested_budget,scheduled_budget,shots_added,active_circuits,revealed_union_circuits,accounted_revealed_shots,total_shot_budget,remaining_shot_budget,shot_budget_exhausted,physical_precomputed_shots
0,0,,0.1,lazy_delta_inverse_square,0,0,0,1918,1918,460320,959000,498680,False,460320
1,1,18.192763458747535,0.2,lazy_delta_inverse_square,0,0,0,1918,1918,460320,959000,498680,False,460320
2,2,-0.7758315045343459,0.1,lazy_delta_inverse_square,0,0,0,1918,1918,460320,959000,498680,False,460320
3,3,0.0790423043528267,0.2,lazy_delta_inverse_square,0,0,0,1918,1918,460320,959000,498680,False,460320
4,4,-1.313979689953838,0.1,lazy_delta_inverse_square,0,0,0,1918,1918,460320,959000,498680,False,460320
5,5,-0.40203954716544,0.05,lazy_delta_inverse_square,10000,10000,10000,1918,1918,470320,959000,488680,False,470320
6,6,0.6227705825734031,0.1,lazy_delta_inverse_square,0,0,0,1918,1918,470320,959000,488680,False,470320
7,7,-1.7956288950282593,0.05,lazy_delta_inverse_square,0,0,0,1918,1918,470320,959000,488680,False,470320
8,8,-0.3153604422350762,0.025,lazy_delta_inverse_square,0,0,0,1918,1918,470320,959000,488680,False,470320
9,9,0.5852517306680718,0.05,lazy_delta_inverse_square,0,0,0,1918,1918,470320,959000,488680,False,470320
10,10,-0.4162038974777305,0.025,lazy_delta_inverse_square,10000,10000,10000,1918,1918,480320,959000,478680,False,480320
11,11,0.5837396433950756,0.05,lazy_delta_inverse_square,0,0,0,1918,1918,480320,959000,478680,False,480320
12,12,-0.010613912958825506,0.025,lazy_delta_inverse_square,0,0,0,1918,1918,480320,959000,478680,False,480320
13,13,0.4785444466339859,0.05,lazy_delta_inverse_square,0,0,0,1918,1918,480320,959000,478680,False,480320
14,14,-1.7707611959922407,0.025,lazy_delta_inverse_square,0,0,0,1918,1918,480320,959000,478680,False,480320
15,15,0.09649268175129637,0.05,lazy_delta_inverse_square,10000,10000,10000,1918,1918,490320,959000,468680,False,490320
16,16,0.7809607461396052,0.025,lazy_delta_inverse_square,0,0,0,1918,1918,490320,959000,468680,False,490320
17,17,-1.968535208871405,0.0125,lazy_delta_inverse_square,0,0,0,1918,1918,490320,959000,468680,False,490320
18,18,0.6561333532463207,0.025,lazy_delta_inverse_square,0,0,0,1918,1918,490320,959000,468680,False,490320
19,19,-4.141254016367241,0.0125,lazy_delta_inverse_square,0,0,0,1918,1918,490320,959000,468680,False,490320
20,20,-0.5049923209929783,0.00625,lazy_delta_inverse_square,10000,10000,10000,1918,1918,500320,959000,458680,False,500320
21,21,0.7378319108938076,0.0125,lazy_delta_inverse_square,0,0,0,1918,1918,500320,959000,458680,False,500320
22,22,-6.794728263559177,0.00625,lazy_delta_inverse_square,0,0,0,1918,1918,500320,959000,458680,False,500320
23,23,-0.6648091103530938,0.003125,lazy_delta_inverse_square,0,0,0,1918,1918,500320,959000,458680,False,500320
24,24,0.874855878231433,0.00625,lazy_delta_inverse_square,0,0,0,1918,1918,500320,959000,458680,False,500320
25,25,-10.042906196875926,0.003125,lazy_delta_inverse_square,10000,10000,10000,1918,1918,510320,959000,448680,False,510320
26,26,-1.0266600062597153,0.0015625,lazy_delta_inverse_square,0,0,0,1918,1918,510320,959000,448680,False,510320
27,27,0.7974888869800623,0.003125,lazy_delta_inverse_square,0,0,0,1918,1918,510320,959000,448680,False,510320
28,28,-6.0488855797967895,0.0015625,lazy_delta_inverse_square,0,0,0,1918,1918,510320,959000,448680,False,510320
29,29,-0.29734374830395155,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,510320,959000,448680,False,510320
30,30,0.7970445773308807,0.0015625,lazy_delta_inverse_square,10000,10000,10000,1918,1918,520320,959000,438680,False,520320
31,31,-1.5031405658366292,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,520320,959000,438680,False,520320
32,32,0.3333928407582083,0.0015625,lazy_delta_inverse_square,0,0,0,1918,1918,520320,959000,438680,False,520320
33,33,-2.170478050731402,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,520320,959000,438680,False,520320
34,34,0.199532342860609,0.0015625,lazy_delta_inverse_square,0,0,0,1918,1918,520320,959000,438680,False,520320
35,35,-3.179073722507692,0.00078125,lazy_delta_inverse_square,10000,10000,10000,1918,1918,530320,959000,428680,False,530320
36,36,0.2234212410339028,0.0015625,lazy_delta_inverse_square,0,0,0,1918,1918,530320,959000,428680,False,530320
37,37,-1.9413101554335692,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,530320,959000,428680,False,530320
38,38,0.17956996290631588,0.0015625,lazy_delta_inverse_square,0,0,0,1918,1918,530320,959000,428680,False,530320
39,39,-2.9771729174272368,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,530320,959000,428680,False,530320
40,40,-0.15331075700416902,0.000390625,lazy_delta_inverse_square,10000,10000,10000,1918,1918,540320,959000,418680,False,540320
41,41,0.7909204827315515,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,540320,959000,418680,False,540320
42,42,-0.8032676065497223,0.000390625,lazy_delta_inverse_square,0,0,0,1918,1918,540320,959000,418680,False,540320
43,43,0.34369619383547645,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,540320,959000,418680,False,540320
44,44,-0.9924277792381925,0.000390625,lazy_delta_inverse_square,0,0,0,1918,1918,540320,959000,418680,False,540320
45,45,0.18555433542047925,0.00078125,lazy_delta_inverse_square,10000,10000,10000,1918,1918,550320,959000,408680,False,550320
46,46,-0.2974515809328684,0.000390625,lazy_delta_inverse_square,0,0,0,1918,1918,550320,959000,408680,False,550320
47,47,0.6290058816269369,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,550320,959000,408680,False,550320
48,48,-1.0331014290044946,0.000390625,lazy_delta_inverse_square,0,0,0,1918,1918,550320,959000,408680,False,550320
49,49,0.2173316555388366,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,550320,959000,408680,False,550320
50,50,-1.1731229706022808,0.000390625,lazy_delta_inverse_square,10000,10000,10000,1918,1918,560320,959000,398680,False,560320
51,51,0.7004510242501463,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,560320,959000,398680,False,560320
52,52,-0.4900707277581054,0.000390625,lazy_delta_inverse_square,0,0,0,1918,1918,560320,959000,398680,False,560320
53,53,0.27792918440414927,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,560320,959000,398680,False,560320
54,54,-0.9712227085601778,0.000390625,lazy_delta_inverse_square,0,0,0,1918,1918,560320,959000,398680,False,560320
55,55,0.22222679564657571,0.00078125,lazy_delta_inverse_square,10000,10000,10000,1918,1918,570320,959000,388680,False,570320
56,56,-0.28317388026183965,0.000390625,lazy_delta_inverse_square,0,0,0,1918,1918,570320,959000,388680,False,570320
57,57,0.6179106976160134,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,570320,959000,388680,False,570320
58,58,-0.6988697246916262,0.000390625,lazy_delta_inverse_square,0,0,0,1918,1918,570320,959000,388680,False,570320
59,59,0.3249708474874613,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,570320,959000,388680,False,570320
60,60,-1.8730569908140728,0.000390625,lazy_delta_inverse_square,10000,10000,10000,1918,1918,580320,959000,378680,False,580320
61,61,0.4729515706214129,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,580320,959000,378680,False,580320
62,62,-0.9539616905765904,0.000390625,lazy_delta_inverse_square,0,0,0,1918,1918,580320,959000,378680,False,580320
63,63,0.1765756782613165,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,580320,959000,378680,False,580320
64,64,-1.3608244856388991,0.000390625,lazy_delta_inverse_square,0,0,0,1918,1918,580320,959000,378680,False,580320
65,65,0.042016035257050784,0.0001953125,lazy_delta_inverse_square,10000,10000,10000,1918,1918,590320,959000,368680,False,590320
66,66,0.9072541469531749,0.000390625,lazy_delta_inverse_square,0,0,0,1918,1918,590320,959000,368680,False,590320
67,67,0.4002646402326026,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,590320,959000,368680,False,590320
68,68,-0.7244220363445943,0.000390625,lazy_delta_inverse_square,0,0,0,1918,1918,590320,959000,368680,False,590320
69,69,0.3586774892546144,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,590320,959000,368680,False,590320
70,70,-2.2471108067100167,0.000390625,lazy_delta_inverse_square,10000,10000,10000,1918,1918,600320,959000,358680,False,600320
71,71,0.7003064842907181,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,600320,959000,358680,False,600320
72,72,-0.8039454617454938,0.000390625,lazy_delta_inverse_square,0,0,0,1918,1918,600320,959000,358680,False,600320
73,73,0.21891428960540377,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,600320,959000,358680,False,600320
74,74,-1.9230557290083272,0.000390625,lazy_delta_inverse_square,0,0,0,1918,1918,600320,959000,358680,False,600320
75,75,0.07367906743156451,0.00078125,lazy_delta_inverse_square,10000,10000,10000,1918,1918,610320,959000,348680,False,610320
76,76,0.2402226397822259,0.0015625,lazy_delta_inverse_square,0,0,0,1918,1918,610320,959000,348680,False,610320
77,77,-2.978838150846354,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,610320,959000,348680,False,610320
78,78,-0.023263433094836226,0.000390625,lazy_delta_inverse_square,0,0,0,1918,1918,610320,959000,348680,False,610320
79,79,0.6454053871452634,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,610320,959000,348680,False,610320
80,80,-1.4810475811860078,0.000390625,lazy_delta_inverse_square,11365,11365,11365,1918,1918,621685,959000,337315,False,621685
81,81,0.7665226509134396,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,621685,959000,337315,False,621685
82,82,-0.7096144959339302,0.000390625,lazy_delta_inverse_square,0,0,0,1918,1918,621685,959000,337315,False,621685
83,83,0.44755945967961164,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,621685,959000,337315,False,621685
84,84,-2.155749899634521,0.000390625,lazy_delta_inverse_square,0,0,0,1918,1918,621685,959000,337315,False,621685
85,85,-0.11813087479040976,0.0001953125,lazy_delta_inverse_square,13175,13175,13175,1918,1918,634860,959000,324140,False,634860
86,86,0.8614972761754806,0.000390625,lazy_delta_inverse_square,0,0,0,1918,1918,634860,959000,324140,False,634860
87,87,-0.002192679011102724,0.0001953125,lazy_delta_inverse_square,0,0,0,1918,1918,634860,959000,324140,False,634860
88,88,0.569378765457614,0.000390625,lazy_delta_inverse_square,0,0,0,1918,1918,634860,959000,324140,False,634860
89,89,-0.8669771268375392,0.0001953125,lazy_delta_inverse_square,0,0,0,1918,1918,634860,959000,324140,False,634860
90,90,0.0323520736452922,9.765625e-05,lazy_delta_inverse_square,15275,15275,15275,1918,1918,650135,959000,308865,False,650135
91,91,0.9395501144871045,0.0001953125,lazy_delta_inverse_square,0,0,0,1918,1918,650135,959000,308865,False,650135
92,92,0.5769458571791414,0.000390625,lazy_delta_inverse_square,0,0,0,1918,1918,650135,959000,308865,False,650135
93,93,-0.18734031524707684,0.0001953125,lazy_delta_inverse_square,0,0,0,1918,1918,650135,959000,308865,False,650135
94,94,0.42297178040827527,0.000390625,lazy_delta_inverse_square,0,0,0,1918,1918,650135,959000,308865,False,650135
95,95,-0.7141873259015519,0.0001953125,lazy_delta_inverse_square,17705,17705,17705,1918,1918,667840,959000,291160,False,667840
96,96,0.8819341452883065,0.000390625,lazy_delta_inverse_square,0,0,0,1918,1918,667840,959000,291160,False,667840
97,97,0.04656933516754996,0.0001953125,lazy_delta_inverse_square,0,0,0,1918,1918,667840,959000,291160,False,667840
98,98,0.7132817033454978,0.000390625,lazy_delta_inverse_square,0,0,0,1918,1918,667840,959000,291160,False,667840
99,99,-0.7182524607237187,0.0001953125,lazy_delta_inverse_square,0,0,0,1918,1918,667840,959000,291160,False,667840
100,100,0.20844768069035985,0.000390625,lazy_delta_inverse_square,20525,20525,20525,1918,1918,688365,959000,270635,False,688365
101,101,0.6512380685565818,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,688365,959000,270635,False,688365
102,102,-1.0526329339443037,0.000390625,lazy_delta_inverse_square,0,0,0,1918,1918,688365,959000,270635,False,688365
103,103,0.30041123153765426,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,688365,959000,270635,False,688365
104,104,-1.8123275684490099,0.000390625,lazy_delta_inverse_square,0,0,0,1918,1918,688365,959000,270635,False,688365
105,105,0.04649593040806942,0.0001953125,lazy_delta_inverse_square,23795,23795,23795,1918,1918,712160,959000,246840,False,712160
